G,arm,atoms,cpu_s,frac0,k,nit,r_od,t_1em2,t_5em3,t_7em3
0.012747,hyb500x1,224,27.7,0.7907,1,200,0.019371,,,
0.011813,hyb500x1,224,27.8,0.612,2,200,0.002885,,,
0.0112,hyb500x1,224,27.1,0.563,3,200,0.001994,,,
0.01148,hyb500x1,224,28.1,0.4958,4,200,0.001266,,,
0.011906,hyb500x1,224,28.4,0.4174,5,200,0.000826,,,
0.011876,hyb500x1,224,30.0,0.3526,6,200,0.000644,,,
0.011996,hyb500x1,224,29.7,0.3405,7,200,0.000564,,,
0.011984,hyb500x1,224,30.2,0.3644,8,200,0.000524,,,
0.0112,hyb500x1,,228.9,,min,,,,,
0.012274,hyb2000x1,1313,27.8,0.7909,1,200,0.019409,,,
0.011296,hyb2000x1,1313,26.2,0.6116,2,200,0.002863,,,
0.010728,hyb2000x1,1313,28.1,0.5595,3,200,0.001969,,,
0.010978,hyb2000x1,1313,26.8,0.5006,4,200,0.001275,,,
0.01142,hyb2000x1,1313,23.5,0.4123,5,174,0.000833,,,
0.011457,hyb2000x1,1313,29.4,0.3573,6,200,0.000638,,,
0.011519,hyb2000x1,1313,28.3,0.3401,7,200,0.000564,,,
0.011528,hyb2000x1,1313,25.1,0.3621,8,200,0.000513,,,
0.010728,hyb2000x1,,215.3,,min,,,,,
0.011885,hyb5000x1,3847,20.4,0.7919,1,200,0.019447,,,
0.010885,hyb5000x1,3847,20.6,0.6112,2,200,0.002815,,,
0.010278,hyb5000x1,3847,20.8,0.5587,3,200,0.001928,,,
0.01046,hyb5000x1,3847,19.8,0.501,4,200,0.001272,,,
0.010814,hyb5000x1,3847,20.2,0.4152,5,200,0.00083,,,
0.010976,hyb5000x1,3847,17.8,0.3481,6,200,0.000604,,,
0.010869,hyb5000x1,3847,17.7,0.3436,7,200,0.000569,,,
0.010924,hyb5000x1,3847,15.9,0.3636,8,200,0.00051,,,
0.010278,hyb5000x1,,153.2,,min,,,,,
0.012115,hyb2000x2,2445,17.3,0.7916,1,200,0.019409,,,
0.011055,hyb2000x2,2445,15.4,0.6116,2,200,0.002835,,,
0.010514,hyb2000x2,2445,15.4,0.5578,3,200,0.00192,,,
0.010658,hyb2000x2,2445,14.9,0.4998,4,200,0.001277,,,
0.010989,hyb2000x2,2445,15.4,0.4153,5,200,0.00085,,,
0.011156,hyb2000x2,2445,23.2,0.3537,6,200,0.000611,,,
0.011078,hyb2000x2,2445,21.3,0.3439,7,200,0.000566,,,
0.011118,hyb2000x2,2445,22.0,0.3639,8,200,0.000515,,,
0.010514,hyb2000x2,,144.8,,min,,,,,
0.012274,dyn2000x1,1313,20.6,,1,200,0.019409,,,
0.007649,dyn2000x1,1370,19.7,,2,200,0.005213,,,
0.0059,dyn2000x1,1475,18.6,,3,200,0.004339,,,
0.005086,dyn2000x1,1480,18.9,,4,200,0.003423,,,
0.004634,dyn2000x1,1417,25.3,,5,200,0.002672,,,
0.004358,dyn2000x1,1323,24.2,,6,200,0.002209,,,
0.004174,dyn2000x1,1214,22.5,,7,200,0.001746,,,
0.004067,dyn2000x1,1158,29.8,,8,200,0.001676,,,
0.004067,dyn2000x1,,179.7,,min,,,40.3,103.1,58.9
