G,cert_relgap,gap_vs_best_pct,note,obj_feasible,op,space,speedup_vs_full,time_s
0.00237,0.002364330510373244,0.2003,,4696435.982738735,ALM,full,,738.3
9.3e-05,9.316493431313476e-05,0.0,it=959 gap=9.3e-05,4687046.845953971,GP,full,,400.3
9.8e-05,9.830690642138233e-05,0.0045,it=133 gap=9.8e-05,4687257.873850764,FW,full,,23.9
0.051607,0.049074035959324365,5.3052,,4935703.672862327,ALM-hard,compressed,2.16,341.4
0.145852,0.12728685867161715,12.1474,,5256400.015874628,GP-signed,compressed,0.15,2605.5
0.051826,0.04927233313442604,5.3449,anchors_active=254,4937565.770153126,RG-anchor,compressed,0.59,678.8
0.04109,0.03946823742320068,4.2054,"B=2000, dyn repriced",4884153.893750818,ALM-atoms,compressed,3.06,241.2
