G,S@0.015,S@0.02,T_comp@0.015,T_comp@0.02,T_full@0.015,T_full@0.02,arm,atoms,cpu_cum_s,cpu_s,depth,k,kbar,n,n_od,nit,r_od,reduction_pct,repriced,reprices,rss_mb,t_bpr,t_decode_hinge,t_grad,t_grad_latent,t_grad_major,t_link,t_od
0.016238,,,,,,,full,,11.0,11.0,8,1,,,,200,0.004506,,,,180.0,0.28,,2.87,,,1.27,0.14
0.008247,,,,,,,full,,20.9,9.9,8,2,,,,200,0.000334,,,,183.0,0.28,,2.87,,,1.28,0.14
0.043654,,,,,,,comp,470,5.4,5.4,8,1,,,,200,0.004175,,1,,227.0,0.26,1.64,,0.14,0.62,0.38,0.21
0.036712,,,,,,,comp,419,10.0,4.6,8,2,,,,200,0.000399,,1,,230.0,0.24,1.41,,0.13,0.5,0.34,0.18
0.032435,,,,,,,comp,413,14.7,4.7,8,3,,,,200,0.000287,,1,,230.0,0.25,1.4,,0.13,0.54,0.35,0.19
0.030455,,,,,,,comp,395,19.5,4.8,8,4,,,,200,0.00024,,1,,230.0,0.26,1.31,,0.15,0.58,0.38,0.21
0.029372,,,,,,,comp,349,24.6,5.1,8,5,,,,200,0.000211,,1,,228.0,0.27,1.55,,0.15,0.6,0.39,0.2
0.02865,,,,,,,comp,304,29.5,4.9,8,6,,,,200,0.0002,,1,,231.0,0.26,1.46,,0.15,0.57,0.38,0.2
0.028165,,,,,,,comp,265,34.6,5.1,8,7,,,,200,0.000203,,1,,229.0,0.27,1.53,,0.14,0.6,0.38,0.2
0.027781,,,,,,,comp,247,39.2,4.6,8,8,,,,200,0.000196,,1,,228.0,0.24,1.43,,0.13,0.53,0.33,0.18
0.027419,,,,,,,comp,227,43.9,4.7,8,9,,,,200,0.000194,,1,,228.0,0.25,1.37,,0.13,0.55,0.36,0.2
0.027152,,,,,,,comp,207,48.5,4.6,8,10,,,,200,0.000192,,1,,228.0,0.23,1.4,,0.13,0.55,0.35,0.2
0.026909,,,,,,,comp,194,53.0,4.5,8,11,,,,200,0.000187,,1,,230.0,0.24,1.35,,0.13,0.53,0.34,0.18
0.026713,,,,,,,comp,184,57.3,4.3,8,12,,,,200,0.000193,,1,,229.0,0.24,1.22,,0.12,0.49,0.33,0.17
,,,,,20.9,11.0,SUMMARY,,,,8,,7.7,147088,19112,,,72.4,,12,,,,,,,,
0.022889,,,,,,,full,,18.5,18.5,16,1,,,,200,0.004515,,,,246.0,0.27,,5.1,,,2.29,0.28
0.012224,,,,,,,full,,35.8,17.3,16,2,,,,200,0.000585,,,,247.0,0.28,,5.27,,,2.32,0.28
0.007507,,,,,,,full,,52.2,16.5,16,3,,,,200,0.000282,,,,248.0,0.28,,5.28,,,2.27,0.28
0.035652,,,,,,,comp,489,9.3,9.3,16,1,,,,200,0.003286,,1,,327.0,0.27,3.81,,0.15,1.08,0.59,0.21
0.026653,,,,,,,comp,452,17.9,8.6,16,2,,,,200,0.001094,,1,,327.0,0.26,3.62,,0.15,1.02,0.57,0.21
0.022275,,,,,,,comp,427,26.5,8.5,16,3,,,,200,0.000916,,1,,327.0,0.27,3.61,,0.15,1.07,0.56,0.2
0.020536,,,,,,,comp,416,35.4,9.0,16,4,,,,200,0.000791,,1,,327.0,0.26,3.78,,0.16,1.19,0.6,0.21
0.019416,,,,,,,comp,409,44.0,8.6,16,5,,,,200,0.000765,,1,,326.0,0.26,3.75,,0.15,1.09,0.57,0.21
0.018696,,,,,,,comp,397,52.2,8.1,16,6,,,,200,0.000709,,1,,326.0,0.25,3.47,,0.14,1.02,0.55,0.19
