G,S@0.015,S@0.02,T_comp@0.015,T_comp@0.02,T_full@0.015,T_full@0.02,arm,atoms,cpu_cum_s,cpu_s,depth,k,kbar,n,n_od,nit,r_od,reduction_pct,repriced,reprices,rss_mb,t_bpr,t_decode_hinge,t_grad,t_grad_latent,t_grad_major,t_link,t_od
0.018143,,,,,,,comp,394,60.7,8.5,16,7,,,,200,0.000707,,1,,327.0,0.27,3.69,,0.15,1.06,0.58,0.2
0.017683,,,,,,,comp,384,69.8,9.1,16,8,,,,200,0.000702,,1,,327.0,0.28,3.94,,0.16,1.14,0.61,0.21
0.017282,,,,,,,comp,369,78.7,8.8,16,9,,,,200,0.000706,,1,,326.0,0.26,3.79,,0.15,1.07,0.58,0.21
0.016925,,,,,,,comp,345,87.7,9.0,16,10,,,,200,0.000701,,1,,326.0,0.27,3.8,,0.15,1.06,0.57,0.2
0.016614,,,,,,,comp,331,96.1,8.4,16,11,,,,200,0.000694,,1,,327.0,0.26,3.51,,0.14,1.03,0.54,0.19
0.016335,,,,,,,comp,317,104.9,8.8,16,12,,,,200,0.000686,,1,,326.0,0.26,3.75,,0.15,0.98,0.58,0.2
,,0.81,,44.0,35.8,35.8,SUMMARY,,,,16,,14.57,278511,19112,,,74.9,,12,,,,,,,,
0.029802,,,,,,,full,,31.5,31.5,32,1,,,,200,0.004529,,,,327.0,0.29,,9.2,,,4.24,0.5
0.016762,,,,,,,full,,59.6,28.1,32,2,,,,200,0.000666,,,,330.0,0.29,,9.27,,,4.21,0.5
0.010383,,,,,,,full,,86.3,26.7,32,3,,,,200,0.000334,,,,331.0,0.29,,9.1,,,4.24,0.51
0.034428,,,,,,,comp,489,15.1,15.1,32,1,,,,200,0.002945,,1,,475.0,0.28,6.07,,0.15,1.75,0.96,0.26
0.022206,,,,,,,comp,440,30.2,15.1,32,2,,,,200,0.002427,,1,,477.0,0.28,6.24,,0.16,1.9,1.04,0.27
0.016655,,,,,,,comp,404,44.7,14.6,32,3,,,,200,0.002177,,1,,475.0,0.29,6.33,,0.16,1.81,1.01,0.27
0.01427,,,,,,,comp,373,59.3,14.5,32,4,,,,200,0.002081,,1,,475.0,0.29,6.22,,0.16,1.97,1.03,0.28
,1.46,1.33,59.3,44.7,86.3,59.6,SUMMARY,,,,32,,25.35,484580,19112,,,75.0,,4,,,,,,,,
0.032946,,,,,,,full,,37.1,37.1,64,1,,,,200,0.004531,,,,357.0,0.28,,11.06,,,5.41,0.61
0.01901,,,,,,,full,,72.7,35.7,64,2,,,,200,0.000724,,,,358.0,0.3,,11.69,,,5.6,0.64
0.011635,,,,,,,full,,106.4,33.7,64,3,,,,200,0.000382,,,,359.0,0.29,,11.78,,,5.79,0.66
0.035762,,,,,,,comp,491,19.4,19.4,64,1,,,,200,0.003841,,1,,547.0,0.27,7.35,,0.17,2.74,1.21,0.25
0.021213,,,,,,,comp,422,38.4,19.0,64,2,,,,200,0.003762,,1,,547.0,0.27,7.57,,0.17,2.82,1.26,0.26
0.014797,,,,,,,comp,363,57.0,18.6,64,3,,,,200,0.003514,,1,,547.0,0.28,7.8,,0.18,2.91,1.25,0.26
,1.87,1.28,57.0,57.0,106.4,72.7,SUMMARY,,,,64,,31.56,603232,19112,,,75.0,,3,,,,,,,,
