K,N,basis,gap_nooffset_pct,gap_pct,kbar,n,reduction_pct,speedup,speedup_nooffset,t_comp_s,t_full_s,t_nooffset_s,tau
4,8,weighted,0.4483,0.0,4.64,297,60.6,1.47,2.07,0.3,0.5,0.2,21.2902
4,8,unweighted,1.3057,0.0,4.64,297,60.6,1.63,2.22,0.3,0.5,0.2,21.2902
8,8,weighted,0.5199,0.0,8.25,528,66.3,0.59,0.64,0.4,0.2,0.4,12.88
8,8,unweighted,1.3979,0.0,8.25,528,66.3,0.69,0.63,0.3,0.2,0.4,12.88
16,8,weighted,0.3263,0.0,15.06,964,71.6,1.34,1.12,0.3,0.4,0.4,8.3694
16,8,unweighted,0.8741,0.0,15.06,964,71.6,1.7,0.9,0.3,0.4,0.5,8.3694
32,8,weighted,0.0,2.5722,28.34,1814,73.6,1.81,0.86,0.4,0.8,0.9,4.2302
32,8,unweighted,0.0,2.67,28.34,1814,73.6,2.2,1.16,0.4,0.8,0.7,4.2302
64,8,weighted,0.0,3.8004,55.11,3527,74.5,1.89,1.23,0.7,1.4,1.1,2.1413
64,8,unweighted,0.0,4.0823,55.11,3527,74.5,1.75,1.58,0.8,1.4,0.9,2.1413
4,16,weighted,1.5388,1.2272,4.98,1275,65.0,1.54,1.56,0.5,0.8,0.5,9.0
4,16,unweighted,2.2577,1.3916,4.98,1275,65.0,2.15,1.78,0.4,0.8,0.5,9.0
8,16,weighted,1.0536,0.7044,8.8,2254,69.1,1.2,0.9,0.7,0.8,0.9,6.2179
8,16,unweighted,2.7976,0.3703,8.8,2254,69.1,0.76,1.0,1.1,0.8,0.8,6.2179
16,16,weighted,1.1202,0.0,16.5,4224,72.9,2.21,0.67,0.6,1.3,1.9,3.7192
16,16,unweighted,2.7486,0.2364,16.5,4224,72.9,2.22,0.93,0.6,1.3,1.4,3.7192
32,16,weighted,0.0,0.0141,31.93,8175,74.1,6.82,1.45,0.8,5.2,3.6,2.0983
32,16,unweighted,0.0,0.377,31.93,8175,74.1,6.6,1.79,0.8,5.2,2.9,2.0983
64,16,weighted,0.0,2.3282,63.29,16202,74.6,7.99,2.35,1.5,12.3,5.2,1.0639
64,16,unweighted,0.0,3.751,63.29,16202,74.6,7.73,4.03,1.6,12.3,3.0,1.0639
4,24,weighted,3.0923,2.2368,5.0,2878,68.7,1.7,2.05,1.1,1.9,0.9,6.0
4,24,unweighted,3.4298,2.3439,5.0,2878,68.7,2.44,2.44,0.8,1.9,0.8,6.0
8,24,weighted,2.2924,1.4869,8.94,5151,69.8,1.49,1.58,1.6,2.4,1.5,3.7256
8,24,unweighted,3.0256,1.5737,8.94,5151,69.8,0.94,1.03,2.5,2.4,2.3,3.7256
16,24,weighted,1.5124,0.3175,16.66,9595,72.5,0.86,0.59,4.1,3.5,6.0,2.4281
16,24,unweighted,3.4227,0.4876,16.66,9595,72.5,2.09,0.88,1.7,3.5,4.0,2.4281
32,24,weighted,1.0497,0.0,32.48,18710,74.2,2.16,0.53,4.6,10.0,18.9,1.3468
32,24,unweighted,2.9781,0.1362,32.48,18710,74.2,3.9,0.69,2.6,10.0,14.3,1.3468
64,24,weighted,0.3371,0.0,64.26,37013,74.7,3.97,1.12,8.3,33.0,29.3,0.706
64,24,unweighted,0.5783,0.1028,64.26,37013,74.7,3.08,1.35,10.7,33.0,24.4,0.706
4,32,weighted,6.0663,3.3401,5.0,5120,71.4,2.27,2.33,1.3,3.0,1.3,4.5
4,32,unweighted,6.0723,3.3669,5.0,5120,71.4,2.45,2.87,1.2,3.0,1.0,4.5
8,32,weighted,2.7292,2.3366,8.98,9198,71.3,1.54,1.32,3.4,5.3,4.0,2.7388
8,32,unweighted,3.3119,2.4168,8.98,9198,71.3,1.41,1.11,3.8,5.3,4.8,2.7388
16,32,weighted,2.8589,1.851,16.83,17233,72.5,1.44,1.0,8.8,12.7,12.7,1.7111
16,32,unweighted,4.6897,1.5371,16.83,17233,72.5,1.45,1.6,8.8,12.7,8.0,1.7111
32,32,weighted,1.2561,0.0286,32.76,33551,74.1,1.66,0.53,8.5,14.1,26.8,0.9806
32,32,unweighted,4.5831,0.4458,32.76,33551,74.1,2.59,0.44,5.5,14.1,32.4,0.9806
64,32,weighted,1.6811,0.0,64.61,66161,74.7,5.41,1.0,18.6,100.5,100.4,0.5265
64,32,unweighted,4.6705,0.4056,64.61,66161,74.7,3.87,1.0,26.0,100.5,100.3,0.5265
