G_comp,G_comp_nohinge,G_comp_paired,G_escape,G_full,G_series,H_at_k,control,cpu_comp,cpu_escape,cpu_full,eta_captured,eta_captured_minor,eta_missing,gradH_at_k,hinge_comp,minor_share_of_gT,plateau_G,step
0.01567360523765771,,,,0.005031381831240608,,,reproduction,,,,,,,,39581.39448969911,,,1
0.01420894640676258,,,,0.002767299681352766,,,reproduction,,,,,,,,5821.931988347855,,,2
0.013564797710762088,,,,0.0014592430348900614,,,reproduction,,,,,,,,4178.985273477685,,,3
0.013522958460222782,,,,0.0010956962956365421,,,reproduction,,,,,,,,1955.4951078049178,,,4
0.013187549661286031,,,,0.0009145160286045635,,,C1_shared_dual_lamF,29.9,,73.1,,,,,,,,
0.013833921497392232,,,,0.0009213850353379467,,,C1_shared_dual_lamC,29.6,,73.0,,,,,,,,
,2.218166599113956,,,,,4712.336424516291,C2_hinge,,,,,,,2283.021374725604,,,,
,,0.013833921497392232,0.0027734905887550256,,,,C4_escape,27.9,84.9,,,,,,,,,
,,,,,,,C3_geometry,,,,0.1337242646996023,0.012573648168112078,0.8662757353003977,,,0.8773066808408243,,
,,,,,0.01570;0.01404;0.01355;0.01346;0.01367;0.01375,,C5_rank_r10,,,,,,,,,,0.013456315871149021,
,,,,,0.01479;0.01356;0.01271;0.01284;0.01306;0.01310,,C5_rank_r20,,,,,,,,,,0.012712533124373161,
