G_comp,G_full,Rplus_comp,Z_comp,Z_full,aug_comp,aug_full,cons_comp,cons_full,cpu_comp,cpu_full,dZ_per_s_comp,dZ_per_s_full,hinge_comp,hinge_full,k,lam_norm_comp,lam_norm_full,lin_comp,lin_full,min_x_comp,mu_norm_comp,nit_comp,nit_full,od_comp,od_full,od_max_comp,od_max_full,pg_comp,pg_full,quad_comp,quad_full,rho_comp,rho_full,side,t_comp_bpr,t_comp_decode_hinge,t_comp_grad_latent,t_comp_grad_major,t_comp_link,t_comp_od,t_full_bpr,t_full_grad,t_full_link,t_full_od
0.03606014090891285,0.03606014090891285,,17135555.002419718,17135555.002419718,,,,,,,,,,,0,,,,,,,,,8.186634412058253e-17,8.186634412058253e-17,,,0.0013617536977366042,0.0013617536977366042,,,,,both,,,,,,,,,,
0.015628229432923118,0.005031381831240608,8.848411131283376,16281800.382669432,15967178.2099468,16448775.379370438,16351799.696593702,87.41650306175282,87.70649766658136,15.596,41.494,54742.91,28157.98,39147.189774109764,0.0,1,0.0,0.0,0.0,0.0,-0.10380939966871351,0.0,200,200,0.021042836113939912,0.024528783479049254,1.1718298710689072,1.0,0.002746040921205273,0.0027849809860114928,382082.25037727196,384621.48664690205,100.0,100.0,,0.226,9.071,0.179,1.351,0.801,0.48,0.248,13.111,7.348,0.676
0.014200047715678602,0.002767299681352766,1.8080222719063577,16846935.327428818,16671818.149442125,16879139.81543075,16736642.729796287,17.182399472108013,17.561540094993543,15.817,38.842,-35728.73,-18141.08,5712.2713241071,0.0,2,8741.65,8770.65,63612.93559789131,49404.195828757525,-0.020798089366568843,8848.411,200,200,0.0031979348511652515,0.00363345770127008,2.502795204957087,1.0673996247957716,0.0011739014526708888,0.000693663672931372,14761.742580954888,15420.384525403293,100.0,100.0,,0.225,9.223,0.178,1.414,0.807,0.469,0.229,12.499,7.058,0.651
0.013428236220332727,0.0014592430348900614,1.2676268987559378,16888671.21501994,16705515.037207127,16900341.021974783,16742196.597780595,11.030179759644234,11.593292748345263,13.945,37.122,-2992.98,-907.73,5090.245946218265,0.0,3,9596.426,9480.992,36498.17579999104,29961.33873602578,-0.014983915663637347,9472.007,200,200,0.001885337457989249,0.0021540718042289252,4.004549383533514,1.0,0.0010721310990170992,0.00047193306757611946,6083.243276503267,6720.2218374417425,100.0,100.0,,0.206,7.743,0.163,1.144,0.741,0.4,0.236,12.76,7.258,0.667
0.013582852581998392,0.0010956962956365421,0.781680990086008,16907259.11800459,16725669.9928311,16914945.677454237,16750266.675537929,7.044839274185165,7.48169707903446,14.24,37.481,-1305.34,-537.74,131.09301296577578,0.0,4,10030.337,9860.3,24082.791382972693,18999.10358858692,-0.010480861354097124,9994.969,200,200,0.0011833113755868627,0.0013374671744115466,3.627183574098968,1.0,0.0010474957029568176,0.0003239604421732046,4962.976039910176,5597.579118243277,200.0,200.0,,0.201,8.067,0.162,1.192,0.754,0.37,0.253,12.95,7.574,0.695
0.013649014104541963,0.0009145160286045635,0.6108723325563427,16925335.12261476,16742605.13546677,16927556.499937437,16758978.061053855,4.333037427445193,4.526531586770603,11.103,37.679,-1628.04,-449.46,-392.88887429929156,0.0,5,10593.676,10347.183,15148.804533375813,12275.027945879538,-0.008091306479254736,10008.077,154,200,0.0007439991976481265,0.0007990829042580038,6.321064138888389,1.0,0.0010369833654988634,0.00021466231026105297,3755.042669528171,4097.8976412063985,400.0,400.0,,0.162,6.289,0.128,0.964,0.588,0.274,0.25,12.828,7.614,0.688
0.013933390101469292,0.0007929058965635005,0.42138763992897393,16939696.21951273,16755900.432353366,16936763.32001927,16765911.604279926,2.3458084173109994,2.58996429804991,15.789,38.622,-909.59,-344.24,-2205.045792802265,0.0,6,11284.904,10961.867,7838.953912077889,7328.005900491281,-0.006819558923626326,9968.742,200,200,0.000448191204785534,0.00044040328968671127,6.281190759402738,1.0,0.0010439015444903268,0.00013814377498781445,2201.126852290855,2683.166026069265,800.0,800.0,,0.264,8.244,0.216,1.295,0.84,0.428,0.26,12.821,7.727,0.701
0.013696957598740173,0.0007443727865855629,0.493675631241815,16949283.68152064,16764631.964035742,16942249.157059208,16770462.236884544,1.1888695757603627,1.4180035124824557,21.258,39.636,-451.01,-220.3,1048.0595087298054,0.0,7,11975.524,11669.636,3638.3069763175777,4221.685679672208,-0.0064766464578659855,9745.036,200,200,0.00035385624337458003,0.00022043221972405344,6.2937631018245295,1.0,0.0010332000981804511,8.538111678206376e-05,1130.7286945348997,1608.5871691300654,1600.0,1600.0,,0.33,11.999,0.262,1.811,1.151,0.531,0.253,13.621,7.706,0.717
0.013385738530221793,0.0007018614219879408,0.6461586485069427,16955658.004538782,16769809.27427268,16945031.40865364,16773237.628935259,0.5475369404550209,0.7794214549891798,21.378,58.039,-298.18,-89.2,4463.5662072966825,0.0,8,12596.591,12443.363,1406.6760724546757,2456.358175381146,-0.00959841749681703,9851.997,154,200,0.00036523280980642743,9.780503556660759e-05,8.5304089985966,1.0,0.0010230869109503886,5.14186178971503e-05,479.6747218605522,971.99648719592,3200.0,3200.0,,0.407,11.182,0.292,1.97,1.208,0.551,0.385,18.383,11.882,1.0
0.0133837223561764,0.0006865166240320039,0.6461322294628206,16957871.723863393,16774029.398989558,16946422.411950912,16774343.85421495,0.14969547244289694,0.09832799230957116,2.197,64.027,-1007.49,-65.91,5182.729083961837,0.0,9,13067.01,13295.817,271.1316540382885,283.516364361637,-0.00959299092422361,10295.095,11,200,0.00032828112041316087,7.240168228929822e-06,8.533590716795027,0.5245754421172941,0.0010224838757483007,1.8130676540240782e-05,71.70795030368679,30.938861029219478,6400.0,6400.0,,0.028,1.06,0.025,0.176,0.108,0.043,0.413,20.247,12.301,1.07
