G_comp,G_comp_paired,G_escape,control,cpu_comp,cpu_escape,eta_captured,eta_captured_minor,eta_missing,hinge_comp,minor_share_of_gT,step
0.01830665374442045,,,reproduction,,,,,,46511.07014723826,,1
0.017143499478531665,,,reproduction,,,,,,8102.074081206252,,2
0.01618938100145993,,,reproduction,,,,,,4797.69689931977,,3
0.01618141016379104,,,reproduction,,,,,,804.2173129876409,,4
,0.016426815060813272,0.004153542570446178,C4_escape,35.4,124.5,,,,,,
,,,C3_geometry,,,0.11379759061839073,0.015769931418885472,0.8862024093816092,,0.9004016821587011,
