network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
grid1000,H0,5,0.0133,3.13,2.984,4.007,4.231e-05,True,4.007;2.984;3.436;3.089;3.130
grid1000,R0,5,0.0133,2.814,2.454,3.149,3.625e-07,True,3.149;2.511;2.814;2.844;2.454
grid1000,H1,5,0.0133,0.406,0.4,0.448,1.209e-02,True,0.406;0.400;0.448;0.404;0.421
grid1000,R1,5,0.0133,0.068,0.066,0.078,1.209e-02,True,0.066;0.078;0.070;0.068;0.068
# ratios at eps_f: {'S_R': 1.112, 'S_C': 7.7, 'S_CR': 41.198, 'S_RC': 45.829} ; valid=True
