K,eps_f,T_H0,T_R0,T_H1,T_R1,S_R,S_C,S_CR,S_RC,invocations
10,9.230e-02,0.002187,0.001583,0.002421,0.008805,1.382,0.903,0.18,0.248,5
100,4.027e-01,,0.005416,0.005096,0.019277,n/a,n/a,0.281,n/a,5
1000,4.244e-01,,0.035751,0.025561,0.29055,n/a,n/a,0.123,n/a,5
