network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sketch,H0,5,0.00045,143.584,134.611,166.32,2.493e-06,True,143.584;150.270;134.611;137.677;166.320
sketch,R0,5,0.00045,154.572,135.645,165.804,1.457e-06,True,154.572;165.804;135.645;138.971;164.166
sketch,H1,5,0.00045,237.686,178.585,363.8,4.462e-04,True,178.585;348.741;363.800;237.686;209.122
sketch,R1,5,0.00045,467.768,419.526,501.038,4.432e-04,True,419.526;459.186;501.038;467.768;472.386
# ratios at eps_f: {'S_R': 0.929, 'S_C': 0.604, 'S_CR': 0.33, 'S_RC': 0.307} ; valid=True
