network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sioux_k120_fc,H0,5,2.170281e-05,26.924,19.284,41.663,4.726e-07,True,31.237;19.284;23.327;26.924;41.663
sioux_k120_fc,R0,5,2.170281e-05,7.352,5.3,9.366,2.441e-06,True,5.300;7.306;7.352;9.366;7.746
sioux_k120_fc,H1,5,2.170281e-05,29.994,22.673,57.673,2.114e-05,True,29.994;23.043;22.673;57.673;31.205
sioux_k120_fc,R1,5,2.170281e-05,13.393,10.584,17.331,1.906e-05,True,11.736;13.393;10.584;17.331;16.706
# ratios at eps_f: {'S_R': 3.662, 'S_C': 0.898, 'S_CR': 0.549, 'S_RC': 2.01} ; valid=True
