model,invocations,t_median_s,t_min_s,t_max_s,gap_median,obj_feasible_median,ref_obj_diff_pct,n_var
gp_ref,1,2398.011,2398.011,2398.011,9.934064e-08,16771193.17,0.0,903516
r0,5,1578.99,1515.42,1654.93,3.301e-10,16771193.17,-0.0,822081
r1,5,441.05,440.24,448.83,4.525e-02,17218120.92,2.664854,45440
hard,5,616.8,610.1,619.6,1.979e-02,16962401.15,1.140098,
