network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sioux,H0,5,0.000101,2.732,2.582,3.009,4.142e-06,True,2.740;2.582;3.009;2.724;2.732
sioux,R0,5,0.000101,2.117,1.963,2.142,1.310e-06,True,2.117;1.963;2.126;2.142;2.117
sioux,H1,5,0.000101,3.208,2.661,3.435,1.056e-04,True,2.962;2.661;3.208;3.295;3.435
sioux,R1,5,0.000101,1.625,1.528,1.65,1.015e-04,True,1.625;1.528;1.618;1.650;1.647
# ratios at eps_f: {'S_R': 1.29, 'S_C': 0.852, 'S_CR': 1.303, 'S_RC': 1.682} ; valid=True
