network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sioux_k120,H0,5,0.0001120266,28.559,21.654,44.15,4.726e-07,True,44.150;40.156;21.654;28.559;21.929
sioux_k120,R0,5,0.0001120266,12.027,5.242,14.902,2.441e-06,True,14.902;13.620;6.330;12.027;5.242
sioux_k120,H1,5,0.0001120266,41.6,24.555,45.334,1.018e-04,True,37.395;41.600;45.149;24.555;45.334
sioux_k120,R1,5,0.0001120266,12.297,5.221,14.027,1.018e-04,True,14.027;13.388;7.532;5.221;12.297
# ratios at eps_f: {'S_R': 2.375, 'S_C': 0.687, 'S_CR': 0.978, 'S_RC': 2.322} ; valid=True
