K,eps_f,T_H0,T_R0,T_H1,T_R1,S_R,S_C,S_CR,S_RC,invocations
100,5.094e-03,,0.002776,0.017063,0.007001,n/a,n/a,0.397,n/a,5
1000,1.330e-02,0.009164,0.005793,0.076407,0.014446,1.582,0.12,0.401,0.634,5
10000,1.393e-02,,0.063191,0.316672,0.1007895,n/a,n/a,0.627,n/a,4
