network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
grid100,H0,5,0.0051,0.464,0.435,1.479,4.164e-07,True,1.479;0.459;0.435;0.464;0.500
grid100,R0,5,0.0051,0.079,0.074,0.238,1.412e-07,True,0.238;0.074;0.079;0.079;0.090
grid100,H1,5,0.0051,0.351,0.319,1.123,4.631e-03,True,1.123;0.367;0.319;0.351;0.340
grid100,R1,5,0.0051,0.146,0.131,0.455,4.631e-03,True,0.455;0.140;0.146;0.131;0.146
# ratios at eps_f: {'S_R': 5.84, 'S_C': 1.322, 'S_CR': 0.545, 'S_RC': 3.185} ; valid=True
