network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sioux_fc,H0,5,2.289894e-05,3.128,2.616,4.902,4.142e-06,True,4.902;3.922;2.654;2.616;3.128
sioux_fc,R0,5,2.289894e-05,2.126,2.027,4.255,1.310e-06,True,3.515;2.126;2.027;2.044;4.255
sioux_fc,H1,5,2.289894e-05,11.48,7.57,25.153,2.082e-05,True,25.153;17.810;11.480;9.657;7.570
sioux_fc,R1,5,2.289894e-05,3.675,3.022,10.015,1.905e-05,True,10.015;7.401;3.248;3.022;3.675
# ratios at eps_f: {'S_R': 1.472, 'S_C': 0.272, 'S_CR': 0.578, 'S_RC': 0.851} ; valid=True
