network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sioux_k60,H0,5,0.0001118747,10.093,9.749,19.822,5.630e-07,True,9.749;10.932;10.093;9.966;19.822
sioux_k60,R0,5,0.0001118747,6.646,5.55,12.233,1.362e-06,True,6.646;7.791;5.550;6.253;12.233
sioux_k60,H1,5,0.0001118747,10.908,8.001,16.108,1.016e-04,True,13.147;8.001;10.008;10.908;16.108
sioux_k60,R1,5,0.0001118747,5.485,4.846,9.215,1.017e-04,True,5.485;5.029;6.532;4.846;9.215
# ratios at eps_f: {'S_R': 1.519, 'S_C': 0.925, 'S_CR': 1.212, 'S_RC': 1.84} ; valid=True
