network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
sketch_fc,H0,5,0.0004809211,59.902,58.471,62.927,2.493e-06,True,59.902;58.581;58.471;62.927;62.143
sketch_fc,R0,5,0.0004809211,61.525,59.41,63.137,1.457e-06,True,61.902;61.525;61.150;59.410;63.137
sketch_fc,H1,5,0.0004809211,99.02,91.113,125.9,4.380e-04,True,125.900;92.240;103.073;99.020;91.113
sketch_fc,R1,5,0.0004809211,210.963,178.669,243.812,4.311e-04,True,178.669;236.790;243.812;210.963;198.681
# ratios at eps_f: {'S_R': 0.974, 'S_C': 0.605, 'S_CR': 0.292, 'S_RC': 0.284} ; valid=True
