network,model,invocations,eps_f,t_median_s,t_min_s,t_max_s,gap_max,reached_floor,raw_times_s
grid10000,H0,5,0.014,43.918,27.536,52.142,8.117e-05,True,52.142;43.918;33.520;46.026;27.536
grid10000,R0,5,0.014,54.786,32.673,76.602,3.971e-07,True,76.602;63.016;45.596;54.786;32.673
grid10000,H1,5,0.014,12.065,6.955,13.572,1.261e-02,True,13.572;12.142;11.825;12.065;6.955
grid10000,R1,5,0.014,3.175,1.567,3.671,1.260e-02,True,3.175;3.111;3.671;3.304;1.567
# ratios at eps_f: {'S_R': 0.802, 'S_C': 3.64, 'S_CR': 17.256, 'S_RC': 13.833} ; valid=True
