instance,representation,atoms,n_paths,solver,restricted_optimum,representation_gap_pct,time_to_target_s,iterations,demand_residual,min_path_flow
controlled_K8,E,32,32,FW,55713.86294346942,0.0,10.105963166500032,35628,2.5011104298755527e-12,5.257510676284539e-05
controlled_K8,E,32,32,PG,55713.86294346942,0.0,0.0020059789999322675,23,9.094947017729282e-13,0.0
controlled_K8,C,32,32,FW,55713.862943470136,1.279831999646968e-12,10.186374728000033,35628,4.547473508864641e-12,5.2575106823724214e-05
controlled_K8,C,32,32,PG,55713.862943470136,1.279831999646968e-12,0.0021245284999622527,23,9.094947017729282e-13,0.0
controlled_K8,RC,32,32,FW,55713.86294346971,5.093208978186913e-13,10.1054840905,35628,8.526512829121202e-12,5.257510672564354e-05
controlled_K8,RC,32,32,PG,55713.86294346971,5.093208978186913e-13,0.001971486000002187,23,3.637978807091713e-12,0.0
controlled_K8,speedup_E_over_C,,32,FW,,,0.9921059686446674,,,
controlled_K8,speedup_E_over_RC,,32,FW,,,1.0000474075260268,,,
controlled_K8,speedup_E_over_C,,32,PG,,,0.9441996188650369,,,
controlled_K8,speedup_E_over_RC,,32,PG,,,1.0174959395755496,,,
controlled_K32,E,128,128,FW,54278.48110711708,0.0,10.358748011499983,36135,3.865352482534945e-12,1.8407152189759456e-06
controlled_K32,E,128,128,PG,54278.48110711708,0.0,0.001102539999919827,12,3.637978807091713e-12,0.0
controlled_K32,C,32,128,FW,55849.7161877383,2.894766118308342,3.182700443499698,11061,3.296918293926865e-12,3.613152885103369e-06
controlled_K32,C,32,128,PG,55849.7161877383,2.894766118308342,0.0010828444997059705,11,1.8189894035458565e-12,0.0
controlled_K32,RC,32,128,FW,54925.464763320255,1.1919708197552057,9.671982151000066,34008,5.7980287238024175e-12,2.9364768165886023e-06
controlled_K32,RC,32,128,PG,54925.464763320255,1.1919708197552057,0.0009413315001438605,11,9.094947017729282e-13,0.0
controlled_K32,speedup_E_over_C,,128,FW,,,3.25470404626252,,,
controlled_K32,speedup_E_over_RC,,128,FW,,,1.071005699739521,,,
controlled_K32,speedup_E_over_C,,128,PG,,,1.018188669027921,,,
controlled_K32,speedup_E_over_RC,,128,PG,,,1.1712558219408675,,,
controlled_K128,E,512,512,FW,50114.37296365274,0.0,9.701732785000331,21032,3.296918293926865e-12,7.776867119255469e-08
controlled_K128,E,512,512,PG,50114.37296365274,0.0,0.003700766999827465,17,3.637978807091713e-12,0.0
controlled_K128,C,32,512,FW,53251.12490236823,6.259186243815786,0.6452100350002183,1781,1.5916157281026244e-12,2.5805702683401536e-07
controlled_K128,C,32,512,PG,53251.12490236823,6.259186243815786,0.0009312699999100005,8,1.4551915228366852e-11,0.0
