instance,representation,atoms,n_paths,solver,restricted_optimum,representation_gap_pct,time_to_target_s,iterations,demand_residual,min_path_flow
controlled_K128,RC,32,512,FW,51004.248341787636,1.7756889401376077,10.799599550000039,28018,7.048583938740194e-12,1.9126290310273867e-07
controlled_K128,RC,32,512,PG,51004.248341787636,1.7756889401376077,0.0012343439998403483,13,1.8189894035458565e-12,0.0
controlled_K128,speedup_E_over_C,,512,FW,,,15.036549741507118,,,
controlled_K128,speedup_E_over_RC,,512,FW,,,0.8983419005568865,,,
controlled_K128,speedup_E_over_C,,512,PG,,,3.9738926414306412,,,
controlled_K128,speedup_E_over_RC,,512,PG,,,2.9981650174555288,,,
controlled_K512,E,2048,2048,FW,54387.25238220073,0.0,35.2819549689998,17951,3.410605131648481e-12,1.2737520630519898e-08
controlled_K512,E,2048,2048,PG,54387.25238220073,0.0,0.01592390699988755,10,7.275957614183426e-12,0.0
controlled_K512,C,32,2048,FW,57777.40848973898,6.233365281471256,0.0022548110000570887,4,0.0,0.0
controlled_K512,C,32,2048,PG,57777.40848973898,6.233365281471256,0.0013817089998156007,8,0.0,0.0
controlled_K512,RC,32,2048,FW,55393.695636890516,1.8505131452810175,14.331291283000155,22733,4.433786671143025e-12,3.147082916585603e-08
controlled_K512,RC,32,2048,PG,55393.695636890516,1.8505131452810175,0.0020680370002992277,13,1.0231815394945443e-12,0.0
controlled_K512,speedup_E_over_C,,2048,FW,,,15647.411232296858,,,
controlled_K512,speedup_E_over_RC,,2048,FW,,,2.4618824830426425,,,
controlled_K512,speedup_E_over_C,,2048,PG,,,11.524790677351536,,,
controlled_K512,speedup_E_over_RC,,2048,PG,,,7.70001068529407,,,
sioux-falls_K32,E,192,192,FW,9.145597596474591,0.0,9.787399994820589e-05,2,0.0,0.0
sioux-falls_K32,E,192,192,PG,9.145597596474591,0.0,0.00042761300028359983,4,1.1102230246251565e-16,0.0
sioux-falls_K32,C,48,192,FW,9.14559759647459,-1.942308111265461e-14,0.00014055900010134792,2,0.0,0.0
sioux-falls_K32,C,48,192,PG,9.14559759647459,-1.942308111265461e-14,0.0002882740000131889,3,2.220446049250313e-16,0.0
sioux-falls_K32,RC,48,192,FW,9.145597596474591,0.0,8.741400006329059e-05,2,0.0,0.0
sioux-falls_K32,RC,48,192,PG,9.145597596474591,0.0,0.0003191519999745651,3,2.220446049250313e-16,0.0
sioux-falls_K32,speedup_E_over_C,,192,FW,,,0.6963196940618199,,,
sioux-falls_K32,speedup_E_over_RC,,192,FW,,,1.119660464883679,,,
sioux-falls_K32,speedup_E_over_C,,192,PG,,,1.4833561135032503,,,
sioux-falls_K32,speedup_E_over_RC,,192,PG,,,1.3398412051864896,,,
chicago-sketch_K32,E,192,192,FW,9.554789585216652,0.0,0.01658961500015721,19,1.1102230246251565e-16,0.0
chicago-sketch_K32,E,192,192,PG,9.554789585216652,0.0,0.0024172140001610387,8,3.3306690738754696e-16,0.0
chicago-sketch_K32,C,48,192,FW,23.866981059165273,149.79075516317712,0.0001789859998098109,2,2.220446049250313e-16,0.0
chicago-sketch_K32,C,48,192,PG,23.866981059165273,149.79075516317712,0.00041334400020787143,3,4.440892098500626e-16,0.0
chicago-sketch_K32,RC,48,192,FW,9.605575506848066,0.5315231819441747,0.0001739170002110768,2,1.1102230246251565e-16,0.0
chicago-sketch_K32,RC,48,192,PG,9.605575506848066,0.5315231819441747,0.0005634090002786252,3,3.3306690738754696e-16,0.0
chicago-sketch_K32,speedup_E_over_C,,192,FW,,,92.68666274337212,,,
chicago-sketch_K32,speedup_E_over_RC,,192,FW,,,95.38811605549193,,,
chicago-sketch_K32,speedup_E_over_C,,192,PG,,,5.847947469771952,,,
chicago-sketch_K32,speedup_E_over_RC,,192,PG,,,4.290336148278858,,,
