K,q,K_over_q,n,s_plus_r,majors,rank,ell,alm_full_s,alm_comp_s,alm_speedup,gp_full_s,gp_comp_s,gp_speedup,feasible_gap_pct
8,5.94,1.35,3200,2375,2325,50,400,1.57,4.31,0.36,nan,nan,nan,0.0
16,8.96,1.79,6400,3585,3535,50,400,3.59,7.62,0.47,nan,nan,nan,0.0
32,11.52,2.78,12800,4606,4556,50,400,7.15,13.21,0.54,nan,nan,nan,0.0
64,12.17,5.26,25600,4868,4818,50,400,24.25,32.39,0.75,nan,nan,nan,0.0
