net,tau,reduction_pct,delta_F_pct,link_R2,Gap_F_vs_tau0,Gap_F_final,f_ref_best,ref_tau,cpp_obj_feasible,cpu_s,cpp_pool_gap
regional,0.0,0.0,0.0003916430844028487,1.0,0.0,0.0,19456667.091,0.0,19456667.0910,526.5190647000272,2.0501e-02
regional,0.23,53.79516569079679,89.69962412666617,0.9277348656954939,2.1823208125165197,2.5293098088091353,19456667.091,0.0,19948786.4802,2318.066591699986,8.7201e-02
regional,0.46,78.15391305698355,211.97782985856756,0.8963252765304879,4.055184310615202,3.9858272769580743,19456667.091,0.0,20232176.2351,2028.3583911999885,1.4250e-01
regional,1.03,89.69765118217445,373.90774072212275,0.9602137253447136,2.8334700903413697,2.8714293408372704,19456667.091,0.0,20015351.5386,5550.38797739998,1.0950e-01
philadelphia,0.0,0.0,3.7976230203908186e-05,1.0,0.0,0.18807646841604433,224796809.4896,0.67,225219599.3900,170.44199659998412,9.3644e-03
philadelphia,0.67,33.79788826847115,3.526141306695778e-06,0.9992739120389488,-0.187724183481421,0.0,224796809.4896,0.67,224796809.4896,4316.7027533999935,4.5256e-03
sketch,0.0,0.0,0.00020698354932186905,1.0,0.0,0.4536643679434612,16852234.5157,0.46,16928687.0989,87.23667069998919,1.3130e-02
sketch,0.46,79.18434763736194,7.283564304532766,0.9990385681432816,-0.4829993355564977,0.0,16852234.5157,0.46,16852234.5157,340.3270751000091,6.8303e-03
sketch,1.06,83.53601562643134,19.309464204329135,0.9993199437028863,-0.33635017735230577,0.16323477740813358,16852234.5157,0.46,16879743.2232,265.4049203999748,1.0188e-02
sketch,4.54,87.12919287396399,79.40644805850914,0.9988833275645754,-0.19085241051868815,0.32634601333587837,16852234.5157,0.46,16907231.1112,246.49141020001844,1.4424e-02
