pool,n,ell,kbar,majors,rank,reduction_pct,t_full_s,t_hard_s,speedup,obj_full,obj_comp,gap_comp_vs_best_pct,svd_time_s
E2,709567,82083,8.64,91277,20,87.1,625.3,625.5,1.0,16776096.993174702,16897623.806258414,0.7244,4.6
K10,903516,81435,11.09,91760,20,89.8,689.1,930.2,0.74,16778944.818488814,16976294.878736556,1.1762,5.7
K15,1323999,86304,15.34,100165,20,92.4,1312.3,1228.0,1.07,16794251.423433505,17109565.438871194,1.8775,12.5
