pool,fix,t_s,speedup,obj_feasible,gap_vs_best_pct,t_full_s,extra
E2,svd_r10,413.1,1.18,16879829.366464783,0.6183,486.4,svd_time=3.6
E2,svd_r25,539.9,0.9,16890814.316732444,0.6838,486.4,svd_time=4.8
E2,grouped_m3r1,1439.2,0.34,16778715.67857843,0.0156,486.4,"n_red=215237,build=151.5s"
K10,svd_r10,7392.7,0.09,16975247.956961397,1.1699,645.0,svd_time=4.4
K10,svd_r25,656.4,0.98,16975126.90976987,1.1692,645.0,svd_time=6.7
K10,grouped_m3r1,1199.8,0.54,16775276.449284118,0.0,645.0,"n_red=215427,build=222.6s"
