pool,n,ell,kbar,majors,rank,reduction_pct,t_full_s,t_hard_s,speedup,obj_full,obj_comp,gap_comp_vs_best_pct,svd_time_s
V2,42774,17464,2.45,19997,50,53.1,12.2,12.6,0.98,16761371.27790385,16766178.34778381,0.0287,0.2
E0,229175,65728,3.49,67966,50,70.3,129.3,66.4,1.95,16771399.797470747,16775227.76897167,0.0228,1.9
E2,709567,82083,8.64,91277,50,87.1,486.4,732.7,0.66,16776096.993174702,16874690.911359947,0.5877,9.0
K10,903516,81435,11.09,91760,50,89.8,645.0,968.5,0.67,16778944.818488814,16966123.081607077,1.1156,13.4
K15,1323999,86304,15.34,100165,50,92.4,908.2,1355.5,0.67,16794251.423433505,17106282.53781346,1.858,18.2
