cell,engine,gap_pct,obj,r,speedup,t_s,what
N16K32,cpp,,256765.6879,,,6.72,full
N16K32,cpp,0.0935,257005.707,10,5.24,1.28,hard
N16K32,cpp,0.0,256112.5136,20,7.34,0.92,hard
N16K32,cpp,0.0,255859.7095,40,5.44,1.23,hard
N16K32,py,,244814.93857187915,,,3.74,full
N16K32,py,4.5749,256014.9398793974,20,0.84,4.45,hard
N16K32,py,4.2807,255294.6598318356,20,1.15,3.25,w0free
N32K64,cpp,,1050687.7247,,,103.0,full
N32K64,cpp,0.0766,1051493.0054,10,8.62,11.95,hard
N32K64,cpp,0.366,1054532.7453,20,6.46,15.94,hard
N32K64,cpp,0.3279,1054132.765,40,1.49,69.1,hard
N32K64,py,,1004470.3487752841,,,73.01,full
N32K64,py,5.046,1055156.2640175885,20,1.65,44.3,hard
N32K64,py,9.2005,1096887.0121221922,20,2.21,32.98,w0free
