pool,n,kbar,reduction_pct,t_full_s,t_hard_s,speedup,obj_full,obj_hard,gap_hard_vs_best_pct,inner_full,inner_hard
V2,42774,2.45,53.1,41.1,121.2,0.34,16771218.3947,16768807.5422,0.0,2610,3917
E0,229175,3.49,70.3,49.7,63.4,0.78,16775122.8779,16775447.4943,0.0019,798,621
E2,709567,8.64,87.1,151.5,187.7,0.81,16928107.9531,16906576.6992,0.0,1167,782
K10,903516,11.09,89.8,197.6,264.2,0.75,16972896.7103,16993576.0834,0.1218,1257,1024
K15,1323999,15.34,92.4,402.0,406.0,0.99,17062700.7728,17096130.923,0.1959,2245,1556
