experiment,n_od,k_per_od,rank,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds_median,solve_speedup_vs_R0,kernel_seconds,kernel_speedup_vs_R0,online_bytes,signature_bytes,decoder_bytes,preprocess_seconds,success
E1_E2_regime_memory,4,8,5,R0-full,28,0.0,0.0,0.01340689999051392,1.0,3.0348937976043544e-06,1.0,10528,10304,6272,1.5199999324977398e-05,True
E1_E2_regime_memory,4,8,5,R1-U-unweighted-SVD,9,0.8944473592805148,0.0846881262242837,0.0031588000128977,4.244301613198743,1.1136071780271095e-05,0.27252821798266763,6280,3312,2016,0.0003989000106230378,True
E1_E2_regime_memory,4,8,5,R1-W-weighted-SVD,9,0.34601248372180965,0.07851451726472285,0.013768800010439008,0.973715936054652,1.2446154784129249e-05,0.24384188130733422,6280,3312,2016,0.00032049999572336674,True
E1_E2_regime_memory,4,8,5,R1-G-grouped-atom,24,0.05178207750846111,0.04740105922876509,0.024692900013178587,0.5429455423769045,5.818994139872302e-06,0.5215495538668742,10192,8832,5376,0.0007553999894298613,True
E1_E2_regime_memory,4,12,5,R0-full,44,0.0,0.0,0.05985960003454238,1.0,5.81320800918661e-06,1.0,19360,19008,15488,2.4399952962994576e-05,True
E1_E2_regime_memory,4,12,5,R1-U-unweighted-SVD,9,2.0400681821335422,0.1615822538130279,0.01055179996183142,5.6729278654892985,1.1048181157491399e-05,0.526168780754004,8200,3888,3168,0.0005523000145331025,True
E1_E2_regime_memory,4,12,5,R1-W-weighted-SVD,9,0.5207875233129454,0.08298876435894764,0.0159111000248231,3.7621283218102266,1.2343463133390742e-05,0.4709543785537054,8200,3888,3168,0.00040980003541335464,True
E1_E2_regime_memory,4,12,5,R1-G-grouped-atom,24,0.13218537705096225,0.06071015609266956,0.03351039998233318,1.786299180734954,5.36041870091708e-06,1.084469018845872,11792,10368,8448,0.0015617000171914697,True
E1_E2_regime_memory,4,20,5,R0-full,76,0.0,0.0,0.14778639998985454,1.0,6.0675170878710105e-06,1.0,43168,42560,46208,3.950000973418355e-05,True
E1_E2_regime_memory,4,20,5,R1-U-unweighted-SVD,9,2.3930573580928067,0.19748885390805948,0.0031719999969936907,46.59092059581376,1.5307751461079988e-05,0.39636893134159473,12040,5040,5472,0.0010967999696731567,True
E1_E2_regime_memory,4,20,5,R1-W-weighted-SVD,9,0.890418576223406,0.08505104119945546,0.006107299996074289,24.198320057120192,1.3540039063286713e-05,0.44811666048459536,12040,5040,5472,0.0007342000026255846,True
E1_E2_regime_memory,4,20,5,R1-G-grouped-atom,24,0.1932660062251466,0.09168859091547354,0.018383600050583482,8.039034769208,6.5001892117777516e-06,0.9334369954765658,14992,13440,14592,0.0013140999944880605,True
E1_E2_regime_memory,4,40,5,R0-full,156,0.0,0.0,0.8526096999994479,1.0,9.895446773100502e-06,1.0,138528,137280,194688,0.00013380002928897738,True
E1_E2_regime_memory,4,40,5,R1-U-unweighted-SVD,9,3.0760028977789893,0.21527255270797657,0.007014500035438687,121.54960377673243,1.2329284672318863e-05,0.8025969905064565,21640,7920,11232,0.0026077000075019896,True
E1_E2_regime_memory,4,40,5,R1-W-weighted-SVD,9,0.8193199732601523,0.12468658632320005,0.026518300001043826,32.15174803686085,1.4286987308764765e-05,0.6926195536710427,21640,7920,11232,0.001935300009790808,True
