experiment,n_od,k_per_od,rank,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds_median,solve_speedup_vs_R0,kernel_seconds,kernel_speedup_vs_R0,online_bytes,signature_bytes,decoder_bytes,preprocess_seconds,success
E1_E2_regime_memory,4,40,5,R1-G-grouped-atom,24,0.341901427228561,0.12304939023587282,0.05028379999566823,16.955952017804883,6.218957519621426e-06,1.5911745243281352,22992,21120,29952,0.0026593999937176704,True
E1_E2_regime_memory,4,80,5,R0-full,316,0.0,0.0,5.777869799989276,1.0,2.8224511723351497e-05,1.0,482848,480320,798848,0.0014040000387467444,True
E1_E2_regime_memory,4,80,5,R1-U-unweighted-SVD,9,5.3116611471489845,0.31251205421290845,0.011531899974215776,501.0336382476469,1.1995751947324607e-05,2.3528755718932954,40840,13680,22752,0.01517920003971085,True
E1_E2_regime_memory,4,80,5,R1-W-weighted-SVD,9,0.53733098913743,0.03470457517399826,0.024537499994039536,235.47100566042963,1.6930938720349786e-05,1.667037616138061,40840,13680,22752,0.02040919999126345,True
E1_E2_regime_memory,4,80,5,R1-G-grouped-atom,24,0.0016522272351967265,0.01639157232787139,0.13115649996325374,44.05324784976778,9.15446777582929e-06,3.0831406494076257,38992,36480,60672,0.01415230002021417,True
E1_E2_regime_memory,4,120,5,R0-full,476,0.0,0.0,17.317155099997763,1.0,4.8221826176586546e-05,1.0,1031968,1028160,1812608,0.0002313999575562775,True
E1_E2_regime_memory,4,120,5,R1-U-unweighted-SVD,9,5.9122209528975995,0.33345589113073376,0.019718999974429607,878.196415764166,1.5503051756127206e-05,3.110473146522783,60040,19440,34272,0.03510540002025664,True
E1_E2_regime_memory,4,120,5,R1-W-weighted-SVD,9,0.7345323362664941,0.037025750889624655,0.03586280002491549,482.8723660162275,1.7311584471713104e-05,2.785523546696743,60040,19440,34272,0.04192009998951107,True
E1_E2_regime_memory,4,120,5,R1-G-grouped-atom,24,0.0028238355561040914,0.019937761021100675,0.12278199999127537,141.03985194269748,9.5893737785957e-06,5.028673121932297,54992,51840,91392,0.034089400025550276,True
E1_E2_regime_memory,4,200,5,R0-full,796,0.0,0.0,102.64491009997437,1.0,0.0001516079101975265,1.0,2744608,2738240,5068928,0.001850400003604591,True
E1_E2_regime_memory,4,200,5,R1-U-unweighted-SVD,9,7.443745229659195,0.3107391056997461,0.027901400055270642,3678.8444270410187,1.5878515625900036e-05,9.547990112516135,98440,30960,57312,0.20950399996945634,True
E1_E2_regime_memory,4,200,5,R1-W-weighted-SVD,9,0.7880719612434739,0.18875885414659457,0.06004190002568066,1709.5546619289507,1.6587524413580468e-05,9.139875632882429,98440,30960,57312,0.1720033999881707,True
E1_E2_regime_memory,4,200,5,R1-G-grouped-atom,24,0.39905621655495305,0.20002253957241123,0.14343380002537742,715.6256759690787,7.572485351658997e-06,20.020891841581694,86992,82560,152832,0.06291159999091178,True
