experiment,round,promoted_paths,active_groups,n_variables,objective_gap_pct,link_rel_l2,largest_within_group_gradient_mismatch,solve_seconds,R0_variables,R0_solve_seconds,next_promoted_reduced_index
E4_adaptive_promotion,0,0,6,6,1.0688383393069056,0.30005461881155904,4.397278011672786,0.008242700016126037,118,0.2745903999893926,116
E4_adaptive_promotion,1,1,6,7,1.0686927007326874,0.29915432869157055,2.706921084511739,0.0024880999699234962,118,0.2745903999893926,75
E4_adaptive_promotion,2,2,6,8,1.067470376042758,0.2963856485977994,2.1891159162790648,0.0015287999995052814,118,0.2745903999893926,105
E4_adaptive_promotion,3,3,6,9,1.0638359483684028,0.2924885237513801,2.12071958469523,0.003315000038128346,118,0.2745903999893926,93
E4_adaptive_promotion,4,4,6,10,1.05716808357248,0.28810529572483895,1.7762070775290444,0.0035334000131115317,118,0.2745903999893926,55
E4_adaptive_promotion,5,5,6,11,1.0485999909811112,0.2853973920287911,1.4571746141291266,0.0018268999992869794,118,0.2745903999893926,101
E4_adaptive_promotion,6,6,6,12,1.0253684389529731,0.276363001252088,1.5161197159754065,0.0025591999874450266,118,0.2745903999893926,89
E4_adaptive_promotion,7,7,6,13,0.9991305041160141,0.26945179013733583,1.2104844604125475,0.005314900015946478,118,0.2745903999893926,30
E4_adaptive_promotion,8,8,6,14,0.9828361803437162,0.26456749255918055,1.2207365409088609,0.0027489999774843454,118,0.2745903999893926,33
E4_adaptive_promotion,9,9,6,15,0.960169948090556,0.25932804889795147,1.1176619427968615,0.004079500038642436,118,0.2745903999893926,45
E4_adaptive_promotion,10,10,6,16,0.9324832633884798,0.2544080765743292,1.0889095494628154,0.0027483999729156494,118,0.2745903999893926,72
