experiment,network,scenario_id,demand_perturbation,representation,n_variables,objective_gap_pct,link_rel_l2,online_solve_seconds,cumulative_online_seconds,one_time_preprocess_seconds,cumulative_total_seconds,amortized_preprocess_per_scenario
E5_real,ChicagoRegional,1,0.0,R0-full,93,0.0,0.0,0.012144100037403405,0.012144100037403405,1.550000160932541e-05,0.01215960003901273,1.550000160932541e-05
E5_real,ChicagoRegional,1,0.0,R1-U-unweighted-SVD,7,27.328526013953628,0.4869552331074216,0.002212099963799119,0.002212099963799119,0.01364549994468689,0.01585759990848601,0.01364549994468689
E5_real,ChicagoRegional,1,0.0,R1-W-weighted-SVD,7,7.712469604073116,0.14119655167446735,0.005566200008615851,0.005566200008615851,0.012143800035119057,0.017710000043734908,0.012143800035119057
E5_real,ChicagoRegional,1,0.0,R1-G-grouped-atom,15,0.0,0.0,0.0028377000126056373,0.0028377000126056373,0.006504499993752688,0.009342200006358325,0.006504499993752688
E5_real,ChicagoRegional,2,0.05,R0-full,93,0.0,0.0,0.02400939998915419,0.036153500026557595,1.550000160932541e-05,0.03616900002816692,7.750000804662704e-06
E5_real,ChicagoRegional,2,0.05,R1-U-unweighted-SVD,7,25.769839423826575,0.46376688831082774,0.0058435999671928585,0.008055699930991977,0.01364549994468689,0.021701199875678867,0.006822749972343445
E5_real,ChicagoRegional,2,0.05,R1-W-weighted-SVD,7,7.229344400902796,0.1344729061683932,0.0007586999563500285,0.00632489996496588,0.012143800035119057,0.018468700000084937,0.006071900017559528
E5_real,ChicagoRegional,2,0.05,R1-G-grouped-atom,15,-7.4502721701225246e-09,2.624538204314402e-10,0.0006991000263951719,0.003536800039000809,0.006504499993752688,0.010041300032753497,0.003252249996876344
E5_real,ChicagoRegional,3,0.1,R0-full,93,0.0,0.0,0.020364300056826323,0.05651780008338392,1.550000160932541e-05,0.05653330008499324,5.16666720310847e-06
E5_real,ChicagoRegional,3,0.1,R1-U-unweighted-SVD,7,24.309999352386797,0.4426865752788267,0.02784510003402829,0.03590079996502027,0.01364549994468689,0.04954629990970716,0.004548499981562297
E5_real,ChicagoRegional,3,0.1,R1-W-weighted-SVD,7,6.772656648268658,0.12836050151464087,0.0017428999999538064,0.008067799964919686,0.012143800035119057,0.020211600000038743,0.004047933345039685
E5_real,ChicagoRegional,3,0.1,R1-G-grouped-atom,15,9.856983560351508e-10,8.643307619379073e-12,0.0021507000201381743,0.0056875000591389835,0.006504499993752688,0.012192000052891672,0.0021681666645842292
E5_real,ChicagoRegional,4,0.15,R0-full,93,0.0,0.0,0.012731800030451268,0.06924960011383519,1.550000160932541e-05,0.06926510011544451,3.875000402331352e-06
E5_real,ChicagoRegional,4,0.15,R1-U-unweighted-SVD,7,22.931811102606087,0.423439332833602,0.017661299963947386,0.053562099928967655,0.01364549994468689,0.06720759987365454,0.0034113749861717224
E5_real,ChicagoRegional,4,0.15,R1-W-weighted-SVD,7,6.337420197227594,0.12277961015443792,0.004227400000672787,0.012295199965592474,0.012143800035119057,0.02443900000071153,0.003035950008779764
E5_real,ChicagoRegional,4,0.15,R1-G-grouped-atom,15,2.1299681226061376e-11,1.271183381513987e-12,0.002646900014951825,0.008334400074090809,0.006504499993752688,0.014838900067843497,0.001626124998438172
E5_real,ChicagoRegional,5,0.2,R0-full,93,0.0,0.0,0.018662700022105128,0.08791230013594031,1.550000160932541e-05,0.08792780013754964,3.1000003218650817e-06
E5_real,ChicagoRegional,5,0.2,R1-U-unweighted-SVD,7,21.62084750112944,0.40579602718860486,0.0034097000025212765,0.05697179993148893,0.01364549994468689,0.07061729987617582,0.0027290999889373778
E5_real,ChicagoRegional,5,0.2,R1-W-weighted-SVD,7,5.9194613425477485,0.11766379270624956,0.0024946999619714916,0.014789899927563965,0.012143800035119057,0.026933699962683022,0.0024287600070238115
E5_real,ChicagoRegional,5,0.2,R1-G-grouped-atom,15,-2.4787101547669436e-08,6.753990141279126e-10,0.0033747999696061015,0.01170920004369691,0.006504499993752688,0.0182137000374496,0.0013008999987505377
