experiment,network,k_per_od,n_od,n_used_links,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds,solve_speedup_vs_R0,kernel_seconds,kernel_speedup_vs_R0,online_bytes,signature_bytes,decoder_bytes,demand_scale
E1_E2_real,ChicagoRegional,8,3,255,R0-full,21,0.0,0.0,0.004579100001137704,1.0,4.9648071289709605e-06,1.0,43008,42840,3528,16.97045892146225
E1_E2_real,ChicagoRegional,8,3,255,R1-U-unweighted-SVD,6,4.868468103369163,0.20114422644378785,0.002005700021982193,2.2830433020648178,8.661492920225555e-06,0.5732045473797687,15648,12240,1008,16.97045892146225
E1_E2_real,ChicagoRegional,8,3,255,R1-W-weighted-SVD,6,2.0184930171011968,0.06278184470680447,0.0015943000325933099,2.8721695462109964,8.378216552529238e-06,0.5925851997072302,15648,12240,1008,16.97045892146225
E1_E2_real,ChicagoRegional,8,3,255,R1-G-grouped-atom,12,-3.3016513335072696e-13,6.203610285702739e-07,0.0020368999685160816,2.2480730874936685,5.931213379994915e-06,0.8370643257780108,26928,24480,2016,16.97045892146225
E1_E2_real,ChicagoRegional,16,3,502,R0-full,45,0.0,0.0,0.008829200000036508,1.0,1.2450201417379958e-05,1.0,181080,180720,16200,20.95323485085544
E1_E2_real,ChicagoRegional,16,3,502,R1-U-unweighted-SVD,6,12.049002300658737,0.41182409462266983,0.0010195999639108777,8.65947461018963,1.2010632325143433e-05,1.0365983305738464,30824,24096,2160,20.95323485085544
E1_E2_real,ChicagoRegional,16,3,502,R1-W-weighted-SVD,6,5.741524448725553,0.1653982834811515,0.0015049000503495336,5.8669677085769285,1.1506274411487993e-05,1.082035850366087,30824,24096,2160,20.95323485085544
E1_E2_real,ChicagoRegional,16,3,502,R1-G-grouped-atom,12,-3.834655118536846e-11,5.819892597695902e-09,0.001616800029296428,5.460910341446896,7.995599364818418e-06,1.5571317232529578,52616,48192,4320,20.95323485085544
E1_E2_real,ChicagoRegional,32,3,993,R0-full,93,0.0,0.0,0.04475519998231903,1.0,3.5929833984482684e-05,1.0,739536,738792,69192,29.837251403942393
E1_E2_real,ChicagoRegional,32,3,993,R1-U-unweighted-SVD,6,23.68003220409604,0.5497890210126989,0.020424899994395673,2.1912077902265996,1.2485546875495857e-05,2.8777140755443082,61008,47664,4464,29.837251403942393
E1_E2_real,ChicagoRegional,32,3,993,R1-W-weighted-SVD,6,5.595188893429938,0.19896594073177123,0.007287800021003932,6.141112524126831,9.494714355184897e-06,3.7841932511494707,61008,47664,4464,29.837251403942393
E1_E2_real,ChicagoRegional,32,3,993,R1-G-grouped-atom,12,1.042984735213318,0.23113936952966296,0.0034384000464342535,13.016286464029049,9.540557861953403e-06,3.766009755862028,103680,95328,8928,29.837251403942393
E1_E2_real,ChicagoRegional,64,3,3692,R0-full,189,0.0,0.0,0.1406128000235185,1.0,0.00021700292973036994,1.0,5583816,5582304,285768,25.540226486145134
E1_E2_real,ChicagoRegional,64,3,3692,R1-U-unweighted-SVD,6,73.22135212676154,0.7055266914003149,0.0026029000291600823,54.0215907058452,1.9973852531052216e-05,10.864350249557905,217528,177216,9072,25.540226486145134
E1_E2_real,ChicagoRegional,64,3,3692,R1-W-weighted-SVD,6,58.59734901592432,0.5688640622973159,0.011315899959299713,12.426126117168355,2.3365454111967665e-05,9.287340562288586,217528,177216,9072,25.540226486145134
E1_E2_real,ChicagoRegional,64,3,3692,R1-G-grouped-atom,12,0.24635015440178898,0.11838393565525766,0.007743499998468906,18.15881707901096,2.4105712896016485e-05,9.002136989951046,384376,354432,18144,25.540226486145134
