net,basis,rank,floor,time_to_epsU
sioux_SFK25,U,50,0.00010121754714607235,
sioux_SFK25,U,40,0.00010187560223858178,
sioux_SFK25,U,30,0.00010187026382146536,
sioux_SFK25,U,20,0.00010174072525412147,
sioux_SFK25,U,15,0.00010163703558811654,
sioux_SFK25,U,10,0.00010128990263835944,
sioux_SFK25,U,8,0.0001011848217273615,
sioux_SFK25,U,6,0.00010157862789153371,
sioux_SFK25,U,5,0.00010144571257680851,
sioux_SFK25,U,4,0.0001013135239495783,
sioux_SFK25,U,3,0.00010117545890838278,
sioux_SFK25,U,2,0.0001018295807996405,
sioux_SFK25,W,50,1.8974325080175643e-05,
sioux_SFK25,W,40,2.3344551675587796e-05,
sioux_SFK25,W,30,2.605914632181269e-05,
sioux_SFK25,W,20,3.9159664380536415e-05,
sioux_SFK25,W,15,4.119771349182285e-05,
sioux_SFK25,W,10,4.946782504275362e-05,
sioux_SFK25,W,8,4.995144706775832e-05,
sioux_SFK25,W,6,5.752981550152493e-05,
sioux_SFK25,W,5,5.8289409487006685e-05,
sioux_SFK25,W,4,5.8996930305558306e-05,
sioux_SFK25,W,3,5.987207713996372e-05,
sioux_SFK25,W,2,6.554357489826688e-05,
sioux_SFK25,TIMING,R0=3.2335;U(50)=2.3556;W(2)=1.3128,0.00010121754714607235,r_W=2 speedup=1.79
