net,basis,rank,floor,time_to_epsU
sioux_SFK120,U,50,0.00010143895501756895,
sioux_SFK120,U,40,0.00010155450025199693,
sioux_SFK120,U,30,0.00010194388420084811,
sioux_SFK120,U,20,0.00010146256531416699,
sioux_SFK120,U,15,0.00010109569159440884,
sioux_SFK120,U,10,0.00010138818248005143,
sioux_SFK120,U,8,0.00010116797151001235,
sioux_SFK120,U,6,0.00010134104196275776,
sioux_SFK120,U,5,0.000101108684609382,
sioux_SFK120,U,4,0.0001011425431594265,
sioux_SFK120,U,3,0.00010147413868558751,
sioux_SFK120,U,2,0.00010162141572417547,
sioux_SFK120,W,50,1.8943497678687057e-05,
sioux_SFK120,W,40,2.3351548598652485e-05,
sioux_SFK120,W,30,2.600120153843482e-05,
sioux_SFK120,W,20,3.898059597065045e-05,
sioux_SFK120,W,15,4.1265518562802737e-05,
sioux_SFK120,W,10,4.957640365092661e-05,
sioux_SFK120,W,8,5.0062499912831715e-05,
sioux_SFK120,W,6,5.755561352577775e-05,
sioux_SFK120,W,5,5.8229294173960305e-05,
sioux_SFK120,W,4,5.906743387459256e-05,
sioux_SFK120,W,3,6.005192794462442e-05,
sioux_SFK120,W,2,6.496507186383014e-05,
sioux_SFK120,TIMING,R0=9.1319;U(50)=9.6843;W(2)=1.5585,0.00010143895501756895,r_W=2 speedup=6.21
