setting,network,n_od,k_per_od,concentration,perturbation,rank,basis,variant,n_variables,objective_gap_pct,link_rel_l2,demand_residual,min_path_flow,solve_seconds,success,ref_nonanchor_support,ref_minor_support,ref_minor_mass_share
real,sioux-falls,3,8,2.0,0.0,2,U,affine_w0,5,26.562838415026476,0.2152812289154369,1.1102230246251565e-16,0.0,0.0017746000085026026,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,2,U,linear_no_w0,5,-1.059871330339978e-09,5.18703396980438e-12,2.220446049250313e-16,-9.043826100012666e-13,0.0013510999851860106,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,2,W,affine_w0,5,6.6526944807216815,0.047691400605184835,0.0,-1.6542323066914832e-14,0.0011493000201880932,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,2,W,linear_no_w0,5,-1.567234989141959e-12,1.502499924044681e-14,2.220446049250313e-16,-9.963554200614362e-15,0.0016279999981634319,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,5,U,affine_w0,8,22.568294831284696,0.20204166531151563,0.0,0.0,0.0014703000197187066,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,5,U,linear_no_w0,8,-8.362154298163291e-10,3.890437235811933e-12,1.1102230246251565e-16,-6.510077427461527e-13,0.004551899997750297,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,5,W,affine_w0,8,5.251156551314868,0.03233691086655367,0.0,-6.286637876939949e-14,0.001667400007136166,True,0,0,0.0
real,sioux-falls,3,8,2.0,0.0,5,W,linear_no_w0,8,6.670305014762728e-12,5.0994356183270933e-14,1.1102230246251565e-16,-1.3691675885038284e-15,0.0013370999949984252,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,2,U,affine_w0,5,61.503024829919106,0.4352001318849683,2.220446049250313e-16,-1.4083425181263265e-12,0.002188700018450618,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,2,U,linear_no_w0,5,-1.1416349926048687e-08,4.746864105809947e-11,1.1102230246251565e-16,-3.3655338817697704e-12,0.001191700022900477,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,2,W,affine_w0,5,27.463783630231994,0.18352271855969704,0.0,-2.9559688030644793e-15,0.0008806999830994755,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,2,W,linear_no_w0,5,5.796602128494528e-13,1.2366208395946594e-14,1.1102230246251565e-16,-7.917650468931297e-16,0.0009617000177968293,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,5,U,affine_w0,8,60.241919789577985,0.43108252503344535,1.1102230246251565e-16,-2.6127178762505587e-12,0.006292499980190769,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,5,U,linear_no_w0,8,-2.69047355593364e-09,1.0313880744222751e-11,2.220446049250313e-16,-8.619704111327786e-13,0.004646399989724159,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,5,W,affine_w0,8,15.968165418282593,0.11253849058205125,1.1102230246251565e-16,-1.6237011735142914e-15,0.0014563000004272908,True,0,0,0.0
real,sioux-falls,3,16,2.0,0.0,5,W,linear_no_w0,8,4.56579027654419e-11,3.6586575735279277e-13,0.0,-1.2594883506831912e-16,0.001589899999089539,True,0,0,0.0
real,sioux-falls,3,32,2.0,0.0,2,U,affine_w0,5,81.87737073785794,0.5208631673325507,0.0,-1.7600316549234302e-12,0.004211599996779114,True,0,0,1.473601643656441e-11
real,sioux-falls,3,32,2.0,0.0,2,U,linear_no_w0,5,-1.2668137249142521e-08,7.434292563547896e-11,1.1102230246251565e-16,-1.3271333430320296e-12,0.004848200012929738,True,0,0,1.473601643656441e-11
