setting,network,n_od,k_per_od,concentration,perturbation,rank,basis,variant,n_variables,objective_gap_pct,link_rel_l2,demand_residual,min_path_flow,solve_seconds,success,ref_nonanchor_support,ref_minor_support,ref_minor_mass_share
synthetic,grid,1,10,0.5,0.0,2,U,affine_w0,3,4.210338761859042,0.16918921461017944,0.0,-5.400124791776761e-13,0.002150699991034344,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,2,U,linear_no_w0,3,-6.894054194313676e-14,7.241301649047506e-08,0.0,-2.0184963810687113e-13,0.0009538999875076115,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,2,W,affine_w0,3,2.3739692857397268,0.11059570917704914,0.0,0.0,0.001361000002361834,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,2,W,linear_no_w0,3,-3.447027097156838e-14,7.241301595862635e-08,0.0,-5.099914512308806e-14,0.0006704000115860254,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.1,2,U,affine_w0,3,3.615579459075741,0.1778569116754356,0.0,-4.263256414560601e-14,0.001215800002682954,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,2,U,linear_no_w0,3,0.0,2.599825589815684e-10,1.1368683772161603e-13,-2.7356817478635477e-14,0.0005629000079352409,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,2,W,affine_w0,3,2.1080202067863216,0.10547673232177575,0.0,-7.105427357601002e-15,0.003267199994297698,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,2,W,linear_no_w0,3,-3.062853133027699e-14,2.599821955329692e-10,1.1368683772161603e-13,1.2911797958883068e-14,0.0009262999810744077,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,2.5,0.0,2,U,affine_w0,3,2.5015239082561274,0.15648851500188224,1.1368683772161603e-13,-2.219335826225688e-13,0.0008231000101659447,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,2,U,linear_no_w0,3,0.0,1.8008901608668487e-09,0.0,1.0704974956507052e-14,0.0007862000202294439,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,2,W,affine_w0,3,0.7869391346700757,0.053743739419258675,1.1368683772161603e-13,-3.552713678800501e-12,0.001261900004465133,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,2,W,linear_no_w0,3,-1.7235135485784196e-14,1.8008892141006687e-09,0.0,-4.0903341789443606e-16,0.000607299996772781,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.1,2,U,affine_w0,3,2.128738097113033,0.17249342255244354,0.0,-1.2994050280212832e-12,0.0005434999766293913,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,2,U,linear_no_w0,3,-1.5314265665138497e-14,1.0946268186525369e-08,1.1368683772161603e-13,1.1400976067169594e-14,0.0005060999828856438,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,2,W,affine_w0,3,0.6986793337561238,0.04963487582385795,0.0,2.220446049250313e-16,0.0008999999845400453,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,2,W,linear_no_w0,3,0.0,1.094626801878004e-08,0.0,-2.2328056606870675e-16,0.0005201000021770597,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,0.5,0.0,5,U,affine_w0,6,1.607026140739456,0.10345006934480833,2.2737367544323206e-13,-4.973799150320701e-14,0.001503700012108311,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,5,U,linear_no_w0,6,-3.447027097156838e-14,7.241301594731043e-08,0.0,-4.7388863307162453e-17,0.0027509000210557133,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,5,W,affine_w0,6,1.3441170987648812,0.08865379189734036,0.0,-9.237055564881302e-14,0.005170600023120642,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.0,5,W,linear_no_w0,6,-3.447027097156838e-14,7.241301563800834e-08,0.0,-1.9021160333554628e-14,0.0013356000126805156,True,1,0,1.4308776113985967e-16
synthetic,grid,1,10,0.5,0.1,5,U,affine_w0,6,1.4267774821435877,0.0984974331494032,1.1368683772161603e-13,-2.609112925711088e-11,0.004838299995753914,False,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,5,U,linear_no_w0,6,-3.062853133027699e-14,2.599833417927557e-10,1.1368683772161603e-13,1.3269289987203799e-15,0.002382300008321181,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,5,W,affine_w0,6,1.1935856648943663,0.08175831558378868,1.1368683772161603e-13,-5.684341886080802e-14,0.004391900001792237,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,0.5,0.1,5,W,linear_no_w0,6,-4.5942796995415487e-14,2.599830202808767e-10,1.1368683772161603e-13,-3.7832717426907526e-15,0.0017355000018142164,True,1,0,5.660393687041749e-16
synthetic,grid,1,10,2.5,0.0,5,U,affine_w0,6,1.5472687091217725,0.11664566083773373,1.1368683772161603e-13,-4.973799150320701e-12,0.0019948999979533255,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,5,U,linear_no_w0,6,-1.7235135485784196e-14,1.800889463051208e-09,2.2737367544323206e-13,-4.7437974892959706e-14,0.000974599999608472,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,5,W,affine_w0,6,0.13695577962814384,0.0030095171495519136,0.0,-2.8421709430404007e-13,0.0016392999968957156,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.0,5,W,linear_no_w0,6,-1.7235135485784196e-14,1.8008904626249497e-09,1.1368683772161603e-13,6.577234937374036e-15,0.0006206000107340515,True,1,0,1.7683085318255717e-15
synthetic,grid,1,10,2.5,0.1,5,U,affine_w0,6,1.3626753025156817,0.12169947633672251,0.0,-9.663381206337363e-13,0.002590699994470924,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,5,U,linear_no_w0,6,0.0,1.0946269227944288e-08,1.1368683772161603e-13,6.897460671715453e-16,0.0012895000108983368,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,5,W,affine_w0,6,0.12165387171534055,0.00278233595057674,0.0,-3.410605131648481e-13,0.0032594000222161412,True,1,0,1.172134844038118e-15
synthetic,grid,1,10,2.5,0.1,5,W,linear_no_w0,6,0.0,1.0946269507519842e-08,1.1368683772161603e-13,-8.97155787231228e-14,0.001030500017805025,True,1,0,1.172134844038118e-15
synthetic,grid,1,25,0.5,0.0,2,U,affine_w0,3,10.06225254337552,0.19849778934938647,1.1368683772161603e-13,-3.694822225952521e-13,0.002929300011601299,True,1,1,0.3066902721704914
synthetic,grid,1,25,0.5,0.0,2,U,linear_no_w0,3,0.9739937120068436,0.25742243356126104,0.0,-1.1826677032897532e-13,0.0009115000138990581,True,1,1,0.3066902721704914
synthetic,grid,1,25,0.5,0.0,2,W,affine_w0,3,4.040032646521677,0.21937366555254761,1.1368683772161603e-13,-1.2079226507921703e-13,0.004660100006731227,True,1,1,0.3066902721704914
synthetic,grid,1,25,0.5,0.0,2,W,linear_no_w0,3,0.9739937120068672,0.257422433561261,0.0,-1.0437542604198812e-13,0.0028479000029619783,True,1,1,0.3066902721704914
synthetic,grid,1,25,0.5,0.1,2,U,affine_w0,3,8.942441902526785,0.24052992637878584,0.0,-5.702105454474804e-13,0.00126680001267232,True,1,1,0.3629258290498201
synthetic,grid,1,25,0.5,0.1,2,U,linear_no_w0,3,1.6593139172243274,0.31011476832732365,0.0,-1.648840406471286e-13,0.0033331000013276935,True,1,1,0.3629258290498201
synthetic,grid,1,25,0.5,0.1,2,W,affine_w0,3,3.9201813984922596,0.2725804015137628,0.0,-8.704148513061227e-14,0.004438300005858764,True,1,1,0.3629258290498201
synthetic,grid,1,25,0.5,0.1,2,W,linear_no_w0,3,1.659313917224348,0.310114768327323,0.0,-1.685401547215952e-13,0.0019573000026866794,True,1,1,0.3629258290498201
synthetic,grid,1,25,2.5,0.0,2,U,affine_w0,3,7.025435844042767,0.17164188697549165,0.0,-1.6850409956248313e-13,0.0013580999802798033,True,1,1,0.30669027116331615
