experiment,network,k_per_od,n_origins,destinations_per_origin,n_od,n_used_links,representation,n_online_atoms,n_full_paths,objective_gap_pct_vs_full_origin,link_rel_l2_vs_full_origin,final_relative_gap,sweeps,solve_seconds_median,speedup_vs_full_origin,online_bytes,storage_reduction_vs_full,demand_residual,min_path_flow
Controlled route-rich origin-block,ControlledOriginRich,8,4,5,20,222,FW-full-path-pool,160,160,0.0,0.0,1.086788032497078e-05,3000,4.768452013000001,1.0,285440,1.0,1.0913936421275139e-11,0.002614237387776208
Controlled route-rich origin-block,ControlledOriginRich,8,4,5,20,222,Origin-grouped-G4-M1,100,160,0.18953348657410626,0.09614635942090195,9.416928783612126e-06,2691,3.9719209820000287,1.2005405028472862,178400,1.6,1.0913936421275139e-11,0.0021623107315453054
Controlled route-rich origin-block,ControlledOriginRich,16,4,5,20,302,FW-full-path-pool,320,320,0.0,0.0,9.562425733980144e-06,734,1.193694042000061,1.0,775680,1.0,5.4569682106375694e-12,0.0056343182471946425
Controlled route-rich origin-block,ControlledOriginRich,16,4,5,20,302,Origin-grouped-G4-M1,100,320,0.11424575547582419,0.11536862975418267,9.686482300795903e-06,502,0.7598029130000441,1.5710574697414876,242400,3.2,4.547473508864641e-12,0.0030833401049380803
Controlled route-rich origin-block,ControlledOriginRich,32,4,5,20,462,FW-full-path-pool,640,640,0.0,0.0,9.902135093024528e-06,286,0.8638155720000213,1.0,2370560,1.0,2.2737367544323206e-12,0.0032305346766414713
Controlled route-rich origin-block,ControlledOriginRich,32,4,5,20,462,Origin-grouped-G4-M1,100,640,0.04441320976534191,0.10703895360084398,8.712374685073892e-06,78,0.12814508300004945,6.7409185883448055,370400,6.4,1.8189894035458565e-12,0.015523693443609805
