experiment,network,k_per_od,n_od,n_used_links,representation,n_online_atoms,n_full_paths,objective_gap_pct_vs_full_FW,link_rel_l2_vs_full_FW,final_relative_gap,iterations,solve_seconds_median,speedup_vs_full_FW,online_bytes,storage_reduction_vs_full,demand_residual,min_path_flow
Controlled route-rich FW,ControlledRouteRich,8,20,222,FW-full-path-pool,160,160,0.0,0.0,9.359366395101221e-06,3126,1.2004457940000748,1.0,285440,1.0,1.2732925824820995e-11,0.030923619720327842
Controlled route-rich FW,ControlledRouteRich,8,20,222,FW-grouped-G4-M1,100,160,0.18953385644868306,0.09627299439300065,9.901319871244074e-06,2962,1.131134330000009,1.061276067892012,178400,1.6,1.1823431123048067e-11,0.024652631115787232
Controlled route-rich FW,ControlledRouteRich,8,20,222,FW-unweighted-QR-screened,160,160,-7.415383265823484e-14,2.5250033073898084e-12,9.359366396346022e-06,3126,1.1364322630000743,1.0563285055204354,286720,0.9955357142857143,1.0913936421275139e-11,0.030923619719202083
Controlled route-rich FW,ControlledRouteRich,8,20,222,FW-weighted-QR-screened,160,160,1.8538458164558712e-13,2.2178320018169252e-12,9.359366401549261e-06,3126,1.1391965579999805,1.053765292363265,286720,0.9955357142857143,7.275957614183426e-12,0.03092361972176273
Controlled route-rich FW,ControlledRouteRich,16,20,302,FW-full-path-pool,320,320,0.0,0.0,9.954719905430789e-06,757,0.3175360579999733,1.0,775680,1.0,4.547473508864641e-12,0.03029560239649165
Controlled route-rich FW,ControlledRouteRich,16,20,302,FW-grouped-G4-M1,100,320,0.11448702543668605,0.11495200542345231,9.331047066270987e-06,543,0.21839255700001559,1.4539692302789908,242400,3.2,5.4569682106375694e-12,0.048293106671940395
Controlled route-rich FW,ControlledRouteRich,16,20,302,FW-unweighted-QR-screened,160,320,0.30766062868923716,0.18929527318193978,9.490158468332234e-06,1972,0.7774634499999138,0.40842570541420115,389120,1.993421052631579,1.4551915228366852e-11,0.0
Controlled route-rich FW,ControlledRouteRich,16,20,302,FW-weighted-QR-screened,160,320,0.015057709650771483,0.05643818159983881,9.908818647772294e-06,693,0.27672725900004025,1.1474693860929945,389120,1.993421052631579,2.7284841053187847e-12,0.0
Controlled route-rich FW,ControlledRouteRich,32,20,462,FW-full-path-pool,640,640,0.0,0.0,9.710358938311982e-06,301,0.2132617230000733,1.0,2370560,1.0,1.8189894035458565e-12,0.01878204229913689
Controlled route-rich FW,ControlledRouteRich,32,20,462,FW-grouped-G4-M1,100,640,0.04498394523537278,0.1084405990057519,9.450506954013232e-06,103,0.04594966900003783,4.64120259495009,370400,6.4,2.7284841053187847e-12,0.050358365239834724
Controlled route-rich FW,ControlledRouteRich,32,20,462,FW-unweighted-QR-screened,160,640,0.24515482869547464,0.2756813856340289,9.975772736284548e-06,1655,0.898404381999967,0.23737832013388502,593920,3.9913793103448274,8.185452315956354e-12,0.0
Controlled route-rich FW,ControlledRouteRich,32,20,462,FW-weighted-QR-screened,160,640,0.020124226361094035,0.09520349482751038,9.932219929161216e-06,377,0.190016534999927,1.1223324485953563,593920,3.9913793103448274,3.637978807091713e-12,0.0
