instance,representation,atoms,n_paths,solver,restricted_optimum,representation_gap_pct,time_to_target_s,iterations,demand_residual,min_path_flow
controlled_K8,E,32,32,FW,55713.86294346981,0.0,21.784271399956197,35628,7.048583938740194e-12,5.257510674376654e-05
controlled_K8,E,32,32,PG,55713.86294346981,0.0,0.005082499992568046,23,1.8189894035458565e-12,0.0
controlled_K8,C,32,32,FW,55713.86294347012,5.615589386206044e-13,22.472796300018672,35628,4.092726157978177e-12,5.2575106773749785e-05
controlled_K8,C,32,32,PG,55713.86294347012,5.615589386206044e-13,0.0024311000015586615,23,9.094947017729282e-13,0.0
controlled_K8,RC,32,32,FW,55713.86294347013,5.746184488210836e-13,23.708735099993646,35628,5.9117155615240335e-12,5.257510669226183e-05
controlled_K8,RC,32,32,PG,55713.86294347013,5.746184488210836e-13,0.005600099975708872,23,9.094947017729282e-13,0.0
controlled_K8,speedup_E_over_C,,32,FW,,,0.969361850173407,,,
controlled_K8,speedup_E_over_RC,,32,FW,,,0.9188289171935636,,,
controlled_K8,speedup_E_over_C,,32,PG,,,2.0906174115871337,,,
controlled_K8,speedup_E_over_RC,,32,PG,,,0.9075730816617595,,,
controlled_K32,E,128,128,FW,54278.48110711707,0.0,38.232606999983545,36135,6.821210263296962e-12,1.8407152201679723e-06
controlled_K32,E,128,128,PG,54278.48110711707,0.0,0.0025718999677337706,12,3.637978807091713e-12,0.0
controlled_K32,C,32,128,FW,55849.716187738355,2.894766118308463,7.54783180000959,11061,3.183231456205249e-12,3.6131528893922593e-06
controlled_K32,C,32,128,PG,55849.716187738355,2.894766118308463,0.00317209999775514,11,3.637978807091713e-12,0.0
controlled_K32,RC,32,128,FW,54925.464763320364,1.1919708197554202,23.308371199993417,34008,4.661160346586257e-12,2.9364768187410854e-06
controlled_K32,RC,32,128,PG,54925.464763320364,1.1919708197554202,0.0020666999625973403,11,1.8189894035458565e-12,0.0
controlled_K32,speedup_E_over_C,,128,FW,,,5.065376125622588,,,
controlled_K32,speedup_E_over_RC,,128,FW,,,1.6402950970677155,,,
controlled_K32,speedup_E_over_C,,128,PG,,,0.8107877965870798,,,
controlled_K32,speedup_E_over_RC,,128,PG,,,1.2444476771081547,,,
controlled_K128,E,512,512,FW,50114.372963652844,0.0,32.77857030002633,21032,4.661160346586257e-12,7.776867109848615e-08
controlled_K128,E,512,512,PG,50114.372963652844,0.0,0.010057399980723858,17,3.637978807091713e-12,0.0
controlled_K128,C,32,512,FW,53251.12490236825,6.2591862438155985,1.6390324999811128,1781,1.8189894035458565e-12,2.5805702681593337e-07
controlled_K128,C,32,512,PG,53251.12490236825,6.2591862438155985,0.002043300017248839,8,1.4551915228366852e-11,0.0
controlled_K128,RC,32,512,FW,51004.248341787694,1.775688940137517,23.889886099961586,28018,9.208633855450898e-12,1.912629028609009e-07
controlled_K128,RC,32,512,PG,51004.248341787694,1.775688940137517,0.0013857000158168375,13,9.094947017729282e-13,0.0
controlled_K128,speedup_E_over_C,,512,FW,,,19.99873114194139,,,
controlled_K128,speedup_E_over_RC,,512,FW,,,1.3720689233457266,,,
controlled_K128,speedup_E_over_C,,512,PG,,,4.922135709794318,,,
controlled_K128,speedup_E_over_RC,,512,PG,,,7.25799225368072,,,
controlled_K512,E,2048,2048,FW,54387.252382202336,0.0,55.15464250004152,17951,3.410605131648481e-12,1.2737520633417851e-08
controlled_K512,E,2048,2048,PG,54387.252382202336,0.0,0.015546599985100329,10,7.275957614183426e-12,0.0
controlled_K512,C,32,2048,FW,57777.40848973936,6.233365281468824,0.002868900017347187,4,4.547473508864641e-13,0.0
