experiment,n_od,k_per_od,rank,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds_median,solve_speedup_vs_R0,kernel_seconds,kernel_speedup_vs_R0,online_bytes,signature_bytes,decoder_bytes,preprocess_seconds,success
E1_E2_regime_memory,2,8,3,R0-full,14,0.0,0.0,0.006381599989254028,1.0,3.7546691888934447e-06,1.0,2800,2688,1568,3.0099996365606785e-05,True
E1_E2_regime_memory,2,8,3,R1-U-unweighted-SVD,5,2.7537105432826503,0.14421789097840276,0.0021271000150591135,3.0001410108008857,8.962561039993489e-06,0.41892815816138335,1944,960,560,0.0007971999584697187,True
E1_E2_regime_memory,2,8,3,R1-W-weighted-SVD,5,0.6595424978755444,0.046917573603079646,0.004369499976746738,1.460487475275232,9.198541260246884e-06,0.40818093681004713,1944,960,560,0.000560999964363873,True
E1_E2_regime_memory,2,8,3,R1-G-grouped-atom,8,-1.451527552581676e-13,1.1968103961615528e-07,0.007230699993669987,0.8825701515538894,4.214321899453921e-06,0.8909308017928016,1936,1536,896,0.0008415000047534704,True
E1_E2_regime_memory,2,16,3,R0-full,30,0.0,0.0,0.02330399997299537,1.0,5.279687499637475e-06,1.0,7920,7680,7200,3.709999145939946e-05,True
E1_E2_regime_memory,2,16,3,R1-U-unweighted-SVD,5,2.063964360280132,0.17717031002472672,0.0033438000245951116,6.969316287333052,1.193005370936362e-05,0.442553539846478,3096,1280,1200,0.0005673999548889697,True
E1_E2_regime_memory,2,16,3,R1-W-weighted-SVD,5,0.9009018336688375,0.12354251097159696,0.006226699973922223,3.7425923957463603,1.131680908628141e-05,0.46653499757609923,3096,1280,1200,0.0005626999773085117,True
E1_E2_regime_memory,2,16,3,R1-G-grouped-atom,8,0.34096824361496675,0.13551357547699897,0.007573800045065582,3.0769230550492543,6.6340271001053e-06,0.7958495526124204,2512,2048,1920,0.0033756999764591455,True
E1_E2_regime_memory,2,32,3,R0-full,62,0.0,0.0,0.10804369999095798,1.0,6.2443481461116335e-06,1.0,24304,23808,30752,5.43000060133636e-05,True
E1_E2_regime_memory,2,32,3,R1-U-unweighted-SVD,5,5.487903955493514,0.2463386245570826,0.006058999977540225,17.8319360276381,1.14668945307983e-05,0.5445544239846528,5400,1920,2480,0.000984499987680465,True
E1_E2_regime_memory,2,32,3,R1-W-weighted-SVD,5,1.2268977022445182,0.05666331667050669,0.007873099995777011,13.723145908080765,9.478491207914885e-06,0.6587913634289575,5400,1920,2480,0.0007813000120222569,True
E1_E2_regime_memory,2,32,3,R1-G-grouped-atom,8,9.130821707003128e-14,9.125008047135854e-10,0.011744500021450222,9.19951464886767,4.5279541005527335e-06,1.3790661317325141,3664,3072,3968,0.0007482999935746193,True
E1_E2_regime_memory,2,64,3,R0-full,126,0.0,0.0,0.4341802000417374,1.0,9.205090329089671e-06,1.0,81648,80640,127008,6.029999349266291e-05,True
E1_E2_regime_memory,2,64,3,R1-U-unweighted-SVD,5,7.262528934680228,0.35113390204370104,0.004281600005924702,101.40606302338769,1.389108886229451e-05,0.6626615393754804,10008,3200,5040,0.0013918000040575862,True
E1_E2_regime_memory,2,64,3,R1-W-weighted-SVD,5,0.8068270364336192,0.0387524632411171,0.006894799997098744,62.97212395202698,1.3273132324798098e-05,0.6935130385080142,10008,3200,5040,0.0010640000109560788,True
E1_E2_regime_memory,2,64,3,R1-G-grouped-atom,8,8.33281633594666e-05,0.002652610044985882,0.006579100037924945,65.99385896838837,5.4058837903880885e-06,1.7027910117965812,5968,5120,8064,0.000602099986281246,True
