experiment,scenario_id,demand_perturbation,representation,n_variables,objective_gap_pct,link_rel_l2,online_solve_seconds,cumulative_online_seconds,one_time_preprocess_seconds,cumulative_total_seconds,amortized_preprocess_per_scenario
E5_repeated_scenarios,1,0.0,R0-full,62,0.0,0.0,0.10277070000302047,0.10277070000302047,3.5100034438073635e-05,0.10280580003745854,3.5100034438073635e-05
E5_repeated_scenarios,1,0.0,R1-U-unweighted-SVD,6,5.807534044015381,0.2675970282503951,0.0031615999760106206,0.0031615999760106206,0.0007407999946735799,0.0039023999706842005,0.0007407999946735799
E5_repeated_scenarios,1,0.0,R1-W-weighted-SVD,6,0.7573202218160212,0.04562843096850746,0.002430099993944168,0.002430099993944168,0.0012787000159732997,0.003708800009917468,0.0012787000159732997
E5_repeated_scenarios,1,0.0,R1-G-grouped-atom,10,-2.9195814483511727e-13,1.0130864462560571e-07,0.009925000020302832,0.009925000020302832,0.0021666999673470855,0.012091699987649918,0.0021666999673470855
E5_repeated_scenarios,2,0.08,R0-full,62,0.0,0.0,0.07580270001199096,0.17857340001501143,3.5100034438073635e-05,0.1786085000494495,1.7550017219036818e-05
E5_repeated_scenarios,2,0.08,R1-U-unweighted-SVD,6,4.93910935621124,0.22845154079012397,0.004869500000495464,0.008031099976506084,0.0007407999946735799,0.008771899971179664,0.00037039999733678997
E5_repeated_scenarios,2,0.08,R1-W-weighted-SVD,6,0.6459152114368597,0.03977062888588478,0.0038554000202566385,0.006285500014200807,0.0012787000159732997,0.007564200030174106,0.0006393500079866499
E5_repeated_scenarios,2,0.08,R1-G-grouped-atom,10,0.043692907098933614,0.04701627298374232,0.006738300027791411,0.016663300048094243,0.0021666999673470855,0.01883000001544133,0.0010833499836735427
E5_repeated_scenarios,3,0.16,R0-full,62,0.0,0.0,0.0979257000144571,0.27649910002946854,3.5100034438073635e-05,0.2765342000639066,1.1700011479357878e-05
E5_repeated_scenarios,3,0.16,R1-U-unweighted-SVD,6,4.236389796050016,0.2038394917788937,0.004532499995548278,0.012563599972054362,0.0007407999946735799,0.013304399966727942,0.00024693333155785996
E5_repeated_scenarios,3,0.16,R1-W-weighted-SVD,6,0.6271733046111169,0.07231202512671621,0.005095500033348799,0.011381000047549605,0.0012787000159732997,0.012659700063522905,0.0004262333386577666
E5_repeated_scenarios,3,0.16,R1-G-grouped-atom,10,0.14958976014149789,0.06331230830470504,0.006631799973547459,0.0232951000216417,0.0021666999673470855,0.025461799988988787,0.0007222333224490285
