network,n_od,k_per_od,rank,representation,n_variables,objective_gap_pct,link_rel_l2,solve_seconds,kernel_seconds,R0_solve_seconds
SiouxFalls,3,8,1,R1-U,4,28.353592839793883,0.22214286077531264,0.002070729000024585,1.590611914062401e-05,0.0026530960001309722
SiouxFalls,3,8,1,R1-W,4,14.364776817328634,0.12037212083744854,0.0016350770001736237,1.5914268798822295e-05,0.0026530960001309722
SiouxFalls,3,8,2,R1-U,5,26.562838414366595,0.21528122891300894,0.0018566819999250583,1.6217174316407457e-05,0.0026530960001309722
SiouxFalls,3,8,2,R1-W,5,6.652694480724778,0.04769140060519381,0.001648096000053556,1.6605197265623373e-05,0.0026530960001309722
SiouxFalls,3,8,3,R1-U,6,26.444906226778205,0.21477447375047032,0.0017873169999802485,1.7551914794911028e-05,0.0026530960001309722
SiouxFalls,3,8,3,R1-W,6,6.22746161483418,0.04596469717766091,0.0016582670000389044,1.6242974853503123e-05,0.0026530960001309722
SiouxFalls,3,8,4,R1-U,7,22.80096333747208,0.203003376812521,0.002168774999972811,1.7159243408199076e-05,0.0026530960001309722
SiouxFalls,3,8,4,R1-W,7,5.992299040791533,0.04552994696254421,0.0016548969999803376,1.652321984862981e-05,0.0026530960001309722
SiouxFalls,3,8,6,R1-U,9,22.496808126531906,0.20460775427342517,0.002997751999828324,1.6178381469722503e-05,0.0026530960001309722
SiouxFalls,3,8,6,R1-W,9,5.14269079476341,0.037902633916382496,0.0014719650000643014,1.6560536987314523e-05,0.0026530960001309722
SiouxFalls,3,8,8,R1-U,11,19.448452628480513,0.1915114295813248,0.0017713830000047892,1.649894104002736e-05,0.0026530960001309722
SiouxFalls,3,8,8,R1-W,11,2.6659498893698337,0.015417235209760632,0.002054212999837546,1.731632360840729e-05,0.0026530960001309722
SiouxFalls,3,8,12,R1-U,15,17.428154884110736,0.18941702264181595,0.0032329169998774887,1.744481420898336e-05,0.0026530960001309722
SiouxFalls,3,8,12,R1-W,15,0.9668459784291266,0.006073287598913216,0.001998591000074157,1.637029370119003e-05,0.0026530960001309722
SiouxFalls,3,16,1,R1-U,4,63.126104580137486,0.44067516733832796,0.0034346179998010484,1.6759594848619885e-05,0.004816561000097863
SiouxFalls,3,16,1,R1-W,4,34.38493450544236,0.2364356023712768,0.0015064270000948454,1.7052086303703806e-05,0.004816561000097863
SiouxFalls,3,16,2,R1-U,5,61.503024828145605,0.43520013188246554,0.003677563999872291,1.6887584594726945e-05,0.004816561000097863
SiouxFalls,3,16,2,R1-W,5,27.46378363023302,0.1835227185597039,0.0018041079999875365,1.730440270994449e-05,0.004816561000097863
SiouxFalls,3,16,3,R1-U,6,61.05770991908158,0.4344033732829058,0.0035659569998642837,1.7476731201171436e-05,0.004816561000097863
SiouxFalls,3,16,3,R1-W,6,26.159177729516397,0.17086128742614828,0.0016068689999428898,1.6586082641600886e-05,0.004816561000097863
SiouxFalls,3,16,4,R1-U,7,60.24440047019371,0.43121899030177996,0.002978394999900047,1.635405114747135e-05,0.004816561000097863
SiouxFalls,3,16,4,R1-W,7,17.865765299794678,0.12299014539575952,0.0019092740001269703,1.6593055419927838e-05,0.004816561000097863
SiouxFalls,3,16,6,R1-U,9,60.16253211613641,0.4306013965013998,0.006423179999956119,1.7274909667963634e-05,0.004816561000097863
SiouxFalls,3,16,6,R1-W,9,13.044959994617228,0.08955577855812923,0.0021703330000946153,1.6487682739263487e-05,0.004816561000097863
SiouxFalls,3,16,8,R1-U,11,57.22460253884581,0.4108084416498278,0.0035989089999475254,1.635685595702263e-05,0.004816561000097863
SiouxFalls,3,16,8,R1-W,11,11.539950069384771,0.07230788967711524,0.0022955389999879117,1.652790014647354e-05,0.004816561000097863
SiouxFalls,3,16,12,R1-U,15,54.040094582649886,0.3820225610778589,0.0036573800000496703,1.769380895996764e-05,0.004816561000097863
SiouxFalls,3,16,12,R1-W,15,8.95639243894424,0.0757525529029637,0.003977230999907988,1.7798264892593396e-05,0.004816561000097863
SiouxFalls,3,32,1,R1-U,4,82.57593719869641,0.5230103636753944,0.0028340769999886106,1.6631516113280176e-05,0.010606271000142442
SiouxFalls,3,32,1,R1-W,4,35.37794682290425,0.2180819063878234,0.0019074389999786945,1.7504703125004184e-05,0.010606271000142442
