representation,success,message,objective,objective_gap_pct,link_rel_l2,demand_residual,min_path_flow,iterations,function_evals,solve_seconds,preprocess_seconds,n_variables,n_explicit,n_latent,rank,n_od,k_per_od,concentration,demand_perturbation
R0-full,True,Optimization terminated successfully,10553.960571103062,0.0,0.0,0.0,0.0,28,27,0.006436095000026398,1.941000004990201e-05,9,9,0,2,1,10,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,10998.318063939536,4.210338761859061,0.16918922132969827,1.1368683772161603e-13,-8.313350008393172e-13,13,24,0.003437590999965323,0.0004542109998055821,3,1,2,2,1,10,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,10804.508353490133,2.3739692857397623,0.11059574579273482,0.0,0.0,14,13,0.0024677870001141855,0.0005171679999875778,3,1,2,2,1,10,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,10553.960571103064,1.72351354857842e-14,5.011984035901246e-12,0.0,0.0,19,18,0.003524087999949188,0.00041739199991752685,3,1,2,2,1,10,0.5,0.0
R0-full,True,Optimization terminated successfully,11877.74486429746,0.0,0.0,0.0,5.8517834372574296e-15,30,29,0.006545814999981303,1.3866000017515034e-05,9,9,0,2,1,10,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,12307.19416781242,3.615579459075725,0.17785691200365142,1.1368683772161603e-13,9.944438441915565e-15,13,12,0.0026686480000535084,0.00014211300003807992,3,1,2,2,1,10,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,12128.130126147356,2.108020206786168,0.10547676239719131,0.0,-6.536993168992922e-13,17,18,0.0035435640002106084,0.00044016900005772186,3,1,2,2,1,10,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,11877.744864297452,-6.125706266055397e-14,1.6101245869212326e-14,1.1368683772161603e-13,0.0,20,19,0.0032515499999590247,0.0003598069999952713,3,1,2,2,1,10,0.5,0.1
R0-full,True,Optimization terminated successfully,10553.960571103102,0.0,0.0,0.0,0.0,22,23,0.004559464000067237,1.2276999996174709e-05,9,9,0,2,1,10,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,10817.970418057126,2.5015239082557046,0.1564885155347658,1.1368683772161603e-13,-3.7247982476174e-13,7,12,0.0017437779999909253,0.00015839600018807687,3,1,2,2,1,10,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,10637.013817094738,0.7869391346698488,0.05374374135290406,1.1368683772161603e-13,-1.7053025658242404e-12,17,27,0.003761904999919352,0.0002708170000005339,3,1,2,2,1,10,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,10553.960571103062,-3.7917298068725096e-13,1.1214262520543335e-08,0.0,0.0,15,15,0.0027224030000070343,0.00048493100007362955,3,1,2,2,1,10,2.5,0.0
R0-full,True,Optimization terminated successfully,11877.744864297456,0.0,0.0,0.0,0.0,23,23,0.004402801999958683,1.4072000112719252e-05,9,9,0,2,1,10,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,12130.59094430165,2.1287380971130943,0.17249342249360594,1.1368683772161603e-13,-1.0547118733938987e-12,7,8,0.0016547780001019419,0.00017591799996807822,3,1,2,2,1,10,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,11960.732212980589,0.6986793337561851,0.049634875818649025,2.2737367544323206e-13,2.942091015256665e-14,15,15,0.003738078999958816,0.0002475200001299527,3,1,2,2,1,10,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,11877.74486429746,3.0628531330276993e-14,2.3887241836789736e-08,0.0,0.0,17,17,0.0035544029999527993,0.00027276999981040717,3,1,2,2,1,10,2.5,0.1
R0-full,True,Optimization terminated successfully,10553.960571103062,0.0,0.0,0.0,0.0,28,27,0.005971060000092621,1.228400014952058e-05,9,9,0,5,1,10,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,10723.565476364027,1.6070261407394912,0.10345011097757302,2.2737367544323206e-13,0.0,17,23,0.0034577549999994517,0.0002469629998813616,6,1,5,5,1,10,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,10695.818159736113,1.3441170987644164,0.08865383908887478,1.1368683772161603e-13,-3.637978807091713e-12,23,23,0.0036792649998460547,0.00030276500001491513,6,1,5,5,1,10,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,10553.960571103324,2.4818595099529245e-12,4.3388574309621584e-07,0.0,0.0,25,24,0.0051077370001166855,0.0006124900000941125,6,1,5,5,1,10,0.5,0.0
R0-full,True,Optimization terminated successfully,11877.74486429746,0.0,0.0,0.0,5.8517834372574296e-15,30,29,0.006412884999917878,1.2186000049041468e-05,9,9,0,5,1,10,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,12047.213853408204,1.4267774821476458,0.09849743353948615,1.1368683772161603e-13,-2.842170943040401e-14,18,17,0.003153230999942025,0.0001412980000168318,6,1,5,5,1,10,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,12019.515924310432,1.1935856648942895,0.08175828828278052,1.1368683772161603e-13,0.0,24,59,0.006807815999991362,0.00025792600013119227,6,1,5,5,1,10,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,11877.744864297454,-4.594279699541548e-14,6.777895308513579e-09,1.1368683772161603e-13,1.5566584044643012e-15,26,25,0.004932868999958373,0.0006367769999542361,6,1,5,5,1,10,0.5,0.1
R0-full,True,Optimization terminated successfully,10553.960571103102,0.0,0.0,0.0,0.0,22,23,0.004503022999870154,1.3203999969846336e-05,9,9,0,5,1,10,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,10717.258700592813,1.5472687091216117,0.11664566213846031,0.0,0.0,11,10,0.0019566309999845544,0.00016100899983939598,6,1,5,5,1,10,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,10568.414830084857,0.13695577962771247,0.0030095177831102283,0.0,-2.1245227799226996e-12,22,23,0.004857696000044598,0.000407438000138427,6,1,5,5,1,10,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,10553.960571103062,-3.7917298068725096e-13,3.0814954469138794e-14,0.0,0.0,20,20,0.004399181999815482,0.0004178910000973701,6,1,5,5,1,10,2.5,0.0
R0-full,True,Optimization terminated successfully,11877.744864297456,0.0,0.0,0.0,0.0,23,23,0.004831055999829914,1.6940000023168977e-05,9,9,0,5,1,10,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,12039.599960059064,1.362675302515697,0.12169947625948395,2.2737367544323206e-13,-6.356026815979021e-14,18,34,0.004339479000009305,0.00017776100003175088,6,1,5,5,1,10,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,11892.194600797338,0.1216538717152946,0.00278233592960269,1.1368683772161603e-13,-2.8421709430404007e-13,23,23,0.00457204899998942,0.0002692589998787298,6,1,5,5,1,10,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,11877.744864297456,0.0,2.3561214013598776e-10,0.0,0.0,21,21,0.003626486000030127,0.0006563130000358797,6,1,5,5,1,10,2.5,0.1
R0-full,True,Optimization terminated successfully,7690.269963523392,0.0,0.0,0.0,0.0,37,36,0.014719270999876244,1.5950000033626566e-05,24,24,0,2,1,25,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,8464.084348520464,10.062252543375466,0.1984977893502256,1.1368683772161603e-13,-3.517186542012496e-13,19,22,0.004117168999982823,0.00033308699994449853,3,1,2,2,1,25,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,8000.959380655382,4.040032646521603,0.2193736650702618,0.0,-1.1546319456101628e-13,24,50,0.006633264000129202,0.0003825169999345235,3,1,2,2,1,25,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,7765.172709404464,0.9739937120068783,0.2574224335577842,0.0,0.0,20,19,0.004792454999915208,0.00041810300012912194,3,1,2,2,1,25,0.5,0.0
R0-full,True,Optimization terminated successfully,8764.958910706306,0.0,0.0,1.1368683772161603e-13,0.0,41,40,0.014654008999968937,1.3958999943497474e-05,24,24,0,2,1,25,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,9548.760269076594,8.942441902527158,0.24052990547144162,1.1368683772161603e-13,-8.881784197001252e-14,21,17,0.00418623799987472,0.0002471770001193363,3,1,2,2,1,25,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,9108.56119950931,3.9201813984923217,0.2725803787831732,1.1368683772161603e-13,-4.618527782440651e-14,18,16,0.0044153039998491295,0.0003422180000143271,3,1,2,2,1,25,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,8910.397093750656,1.6593139172244102,0.310114745287374,1.1368683772161603e-13,0.0,20,19,0.003654153000070437,0.00048244000004160625,3,1,2,2,1,25,0.5,0.1
R0-full,True,Optimization terminated successfully,7690.269963523391,0.0,0.0,0.0,0.0,35,35,0.01692683099986425,1.433700003872218e-05,24,24,0,2,1,25,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,8230.544946044376,7.02543584404222,0.17164188697546368,1.1368683772161603e-13,-1.5187850976872141e-12,10,12,0.0024150790000021516,0.00024716200005059363,3,1,2,2,1,25,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,7871.936940845416,2.362296488728098,0.22589832860899148,0.0,-1.8474111129762605e-13,16,16,0.0032068870000330207,0.0004168089999438962,3,1,2,2,1,25,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,7765.172709404464,0.9739937120068903,0.2574224310078578,0.0,0.0,19,19,0.00385875599999963,0.00046269799986475846,3,1,2,2,1,25,2.5,0.0
R0-full,True,Optimization terminated successfully,8764.958910706308,0.0,0.0,1.1368683772161603e-13,0.0,37,37,0.013816494999900897,1.9953999981225934e-05,24,24,0,2,1,25,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,9291.186107447658,6.003761136844232,0.15172590739091485,0.0,-5.1958437552457326e-14,10,11,0.002472474000114744,0.00028698500000245986,3,1,2,2,1,25,2.5,0.1
