representation,success,message,objective,objective_gap_pct,link_rel_l2,demand_residual,min_path_flow,iterations,function_evals,solve_seconds,preprocess_seconds,n_variables,n_explicit,n_latent,rank,n_od,k_per_od,concentration,demand_perturbation
R1-W-weighted-SVD,True,Optimization terminated successfully,8990.42310623196,2.5723360237348043,0.27249765716012037,0.0,-2.5579538487363607e-13,18,19,0.0036370380000789737,0.00035189200002605503,3,1,2,2,1,25,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,8908.631585843921,1.6391711199252619,0.29136433925477223,1.1368683772161603e-13,1.9283866493160177e-13,27,27,0.005137736000051518,0.0005575969998972141,3,1,2,2,1,25,2.5,0.1
R0-full,True,Optimization terminated successfully,7690.269963523392,0.0,0.0,0.0,0.0,37,36,0.013150921000033122,1.6074000086518936e-05,24,24,0,5,1,25,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,8161.833770211859,6.131953870607865,0.1747387240416174,1.1368683772161603e-13,-1.438849039914203e-13,23,33,0.0066238050001175,0.0002641619998939859,6,1,5,5,1,25,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,7968.023734379667,3.611755792367771,0.21778886813933282,0.0,-8.526512829121202e-14,26,40,0.0066780800000287854,0.0004146429998854728,6,1,5,5,1,25,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,7765.172709404461,0.9739937120068428,0.2574224335641321,0.0,4.1704474116411775e-16,29,28,0.005730804999984684,0.0005299829999785288,6,1,5,5,1,25,0.5,0.0
R0-full,True,Optimization terminated successfully,8764.958910706306,0.0,0.0,1.1368683772161603e-13,0.0,41,40,0.014740550000169605,2.7566999960981775e-05,24,24,0,5,1,25,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,9252.240813230033,5.5594316811744315,0.22383189865126601,0.0,-1.5276668818842154e-13,21,22,0.005348878999939188,0.0002736909998475312,6,1,5,5,1,25,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,9080.555640169181,3.600664106677982,0.2782712755564737,1.1368683772161603e-13,-2.1316282072803006e-14,28,28,0.006334645000151795,0.00035248500012130535,6,1,5,5,1,25,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,8910.042458564001,1.6552678607594782,0.30172731838913547,0.0,0.0,32,31,0.006165221999935966,0.0006922649999978603,6,1,5,5,1,25,0.5,0.1
R0-full,True,Optimization terminated successfully,7690.269963523391,0.0,0.0,0.0,0.0,35,35,0.01372314200011715,1.8162000060328864e-05,24,24,0,5,1,25,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,8153.033814189704,6.017524129338778,0.15177154061227852,0.0,0.0,11,12,0.002608766000093965,0.00028356600000734034,6,1,5,5,1,25,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,7826.12643068825,1.7666020544045358,0.15989195402429804,0.0,-1.8829382497642655e-12,24,25,0.005652359999885448,0.00034584300010465086,6,1,5,5,1,25,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,7764.940606172093,0.9709755704660649,0.2479577526091616,0.0,0.0,30,30,0.006206194000014875,0.0006586969998352288,6,1,5,5,1,25,2.5,0.0
R0-full,True,Optimization terminated successfully,8764.958910706308,0.0,0.0,1.1368683772161603e-13,0.0,37,37,0.014774745000067924,1.5907000033621443e-05,24,24,0,5,1,25,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,9216.03397195367,5.146345417505364,0.1443263222505672,0.0,-1.1146639167236572e-13,11,22,0.003644891000021744,0.00025400599997738027,6,1,5,5,1,25,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,8929.41384214015,1.8762772662055711,0.18831710656609685,0.0,-2.3447910280083306e-13,27,38,0.006925960999978997,0.0005049250000865868,6,1,5,5,1,25,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,8891.28729265006,1.4412889236644804,0.23634765166674973,1.1368683772161603e-13,0.0,30,30,0.006217306000053213,0.0005348079998839239,6,1,5,5,1,25,2.5,0.1
R0-full,True,Optimization terminated successfully,20570.23621993488,0.0,0.0,1.1368683772161603e-13,6.63358257213531e-15,51,50,0.014240172999961942,2.6302999913241365e-05,18,18,0,2,2,10,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,21771.881660283416,5.841670593865164,0.2599285839601387,0.0,-2.842170943040401e-14,19,28,0.004697714000030828,0.00021904000004724367,4,2,2,2,2,10,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,21223.220084990044,3.174411115524039,0.1540844147753947,0.0,-2.1316282072803006e-14,22,36,0.006077279999999519,0.00042187100007140543,4,2,2,2,2,10,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,20570.236219934883,1.7685644288158933e-14,5.714697122966309e-08,0.0,1.1449551430212247e-17,36,35,0.0077241239998784295,0.0004974290000063775,6,2,4,2,2,10,0.5,0.0
R0-full,True,Optimization terminated successfully,23530.95811809181,0.0,0.0,2.2737367544323206e-13,0.0,50,50,0.014846571999896696,1.359500015496451e-05,18,18,0,2,2,10,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,24638.221218392824,4.705558926857691,0.23767509127824812,1.1368683772161603e-13,-6.394884621840902e-14,18,18,0.003796085999965726,0.00021828000012646953,4,2,2,2,2,10,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,24179.213985465354,2.7549063838379424,0.14758048065726254,0.0,0.0,20,19,0.004257528999914939,0.0004023490000690799,4,2,2,2,2,10,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,23530.958118091803,-3.092078774552446e-14,8.115543062918715e-10,1.1368683772161603e-13,0.0,34,33,0.007275208000010025,0.00050485200017647,6,2,4,2,2,10,0.5,0.1
R0-full,True,Optimization terminated successfully,20570.236219934905,0.0,0.0,0.0,0.0,40,40,0.01184166300004108,2.479299996593909e-05,18,18,0,2,2,10,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,20974.993143926156,1.9676824303991036,0.14961780355181473,1.1368683772161603e-13,1.894004574623411e-14,14,14,0.003138414999966699,0.00021096199998282827,4,2,2,2,2,10,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,20747.827487015787,0.8633409222047571,0.0695468135537531,1.1368683772161603e-13,-3.850253449400043e-13,26,27,0.005937366999887672,0.00031609200004822924,4,2,2,2,2,10,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,20570.236219934875,-1.4148515430527129e-13,1.274462875713739e-07,0.0,0.0,36,36,0.0074190510001699295,0.0006205839999893215,6,2,4,2,2,10,2.5,0.0
R0-full,True,Optimization terminated successfully,23530.95811809182,0.0,0.0,0.0,0.0,44,44,0.01278154400006315,1.5613999948982382e-05,18,18,0,2,2,10,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,23934.86411916413,1.7164876969534189,0.13812306880917505,1.1368683772161603e-13,5.1486592766991635e-15,16,17,0.003687884999862945,0.00021644399998876906,4,2,2,2,2,10,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,23708.00619659183,0.7524048855617295,0.06363283620513976,0.0,-1.7541523789077473e-13,32,28,0.006134226000085619,0.00037223499998617626,4,2,2,2,2,10,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,23530.9581180918,-9.276236323657334e-14,4.611147901751051e-08,1.1368683772161603e-13,0.0,35,34,0.007093837999946118,0.00047955800005183846,6,2,4,2,2,10,2.5,0.1
R0-full,True,Optimization terminated successfully,20570.23621993488,0.0,0.0,1.1368683772161603e-13,6.63358257213531e-15,51,50,0.0158890740001425,1.3328000022738706e-05,18,18,0,5,2,10,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,21388.030533051653,3.975619455085494,0.2147831066669337,0.0,3.5213401381414395e-15,28,31,0.006901927000171781,0.00022564799996871443,7,2,5,5,2,10,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,21001.231362323135,2.095236718626366,0.11897545518292797,2.2737367544323206e-13,-6.984635092521785e-12,37,49,0.00971054000001459,0.00037544600013461604,7,2,5,5,2,10,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,20570.23621993488,0.0,2.758691446432654e-08,1.1368683772161603e-13,1.1575630053534786e-15,46,45,0.01108890499995141,0.0007054950001474936,12,2,10,5,2,10,0.5,0.0
R0-full,True,Optimization terminated successfully,23530.95811809181,0.0,0.0,2.2737367544323206e-13,0.0,50,50,0.015038817000004201,1.5217999816741212e-05,18,18,0,5,2,10,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,24281.16797442232,3.1881823619995657,0.20479808604493444,0.0,1.2083609855413664e-14,23,24,0.005476602000044295,0.0002707470000586909,7,2,5,5,2,10,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,23961.156748850593,1.8282240298070322,0.10915080013967304,0.0,-2.106048668792937e-11,33,30,0.006522670000094877,0.0005511479998858704,7,2,5,5,2,10,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,23530.958118091803,-3.092078774552446e-14,1.4519325795970666e-10,1.1368683772161603e-13,3.985052969249681e-16,50,50,0.01324261300010221,0.0008240619999924093,12,2,10,5,2,10,0.5,0.1
R0-full,True,Optimization terminated successfully,20570.236219934905,0.0,0.0,0.0,0.0,40,40,0.013325182000016866,1.4500000133921276e-05,18,18,0,5,2,10,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,20950.158801840105,1.8469529364811692,0.14657911294237283,1.1368683772161603e-13,-1.2190248810384219e-12,17,18,0.004042864999973972,0.00021926699992036447,7,2,5,5,2,10,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,20679.9176846572,0.533204692204762,0.07903008229533284,0.0,-1.4210854715202004e-14,41,40,0.009229068999957235,0.0003964569998515799,7,2,5,5,2,10,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,20570.236219934883,-1.0611386572895346e-13,1.293631428378584e-07,1.1368683772161603e-13,0.0,43,42,0.011159283999859326,0.0008091150000382186,12,2,10,5,2,10,2.5,0.0
R0-full,True,Optimization terminated successfully,23530.95811809182,0.0,0.0,0.0,0.0,44,44,0.017064317999938794,1.4968999948905548e-05,18,18,0,5,2,10,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,23910.040566651,1.6109945317854353,0.13463649578086986,2.2737367544323206e-13,-4.2676973066591017e-13,19,23,0.006714137000017217,0.00023233199999594945,7,2,5,5,2,10,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,23640.144527020697,0.46401174308719473,0.07231573267886143,1.1368683772161603e-13,-3.1086244689504383e-15,38,38,0.009690252000154942,0.00041499500002828427,7,2,5,5,2,10,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,23530.9581180918,-9.276236323657334e-14,4.58607313110812e-08,0.0,0.0,42,41,0.011849822999920434,0.0008301070001834887,12,2,10,5,2,10,2.5,0.1
R0-full,True,Optimization terminated successfully,19672.719785011825,0.0,0.0,0.0,0.0,46,42,0.04914252499997929,2.86530000721541e-05,48,48,0,2,2,25,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,22420.4232600556,13.96707473634217,0.3120928267744131,2.2737367544323206e-13,-1.5631940186722204e-13,15,14,0.003583725999988019,0.0008594979999543284,4,2,2,2,2,25,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,20886.546542280004,6.170101391841943,0.1450269014374899,1.1368683772161603e-13,-8.881784197001252e-14,21,30,0.006598589000077482,0.0009312120000686264,4,2,2,2,2,25,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,19672.719785011814,-5.54775167874358e-14,7.34388373373694e-08,0.0,0.0,29,28,0.007100735999983954,0.0006894429998283158,6,2,4,2,2,25,0.5,0.0
R0-full,True,Optimization terminated successfully,22282.093874283473,0.0,0.0,0.0,0.0,48,46,0.04825460999995812,1.7265999986193492e-05,48,48,0,2,2,25,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,24992.74281030431,12.165144583423952,0.27128541703039244,2.2737367544323206e-13,-9.094947017729282e-13,15,17,0.003718351999850711,0.0006404279999969731,4,2,2,2,2,25,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,23489.5418014342,5.418915897057068,0.1344790476152801,0.0,-1.7763568394002505e-14,33,33,0.008572327000138102,0.0008076320000327541,4,2,2,2,2,25,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,22282.09387428347,-1.6326916256691787e-14,8.987568900637772e-09,0.0,4.2307290477362246e-17,35,35,0.008182621000059953,0.0008923999998842191,6,2,4,2,2,25,0.5,0.1
R0-full,True,Optimization terminated successfully,19672.71978501181,0.0,0.0,0.0,0.0,38,38,0.03866859300001124,1.6827000081320875e-05,48,48,0,2,2,25,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,20850.979306152323,5.98930668467205,0.24012340767412518,0.0,-2.0027035585457043e-13,12,13,0.0030556730000625976,0.0004945089999637275,4,2,2,2,2,25,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,19890.486374528627,1.1069470408597433,0.04507229060227818,0.0,-9.237055564881302e-12,21,32,0.0058926889998929255,0.0006799459999911051,4,2,2,2,2,25,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,19672.719785011814,1.8492505595811946e-14,1.0431448496534567e-09,0.0,0.0,32,31,0.007324045999894224,0.0007429459999457322,6,2,4,2,2,25,2.5,0.0
R0-full,True,Optimization terminated successfully,22282.093874283553,0.0,0.0,1.1368683772161603e-13,0.0,45,41,0.04548830899989298,1.6875000028448994e-05,48,48,0,2,2,25,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,23435.79319137345,5.177697049474405,0.22030395547406867,1.1368683772161603e-13,-1.689551276662371e-13,14,16,0.0036231799999768555,0.0005184809999718709,4,2,2,2,2,25,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,22499.36083324276,0.9750742465453944,0.041191036313439275,1.1368683772161603e-13,-1.4210854715202004e-14,24,23,0.0053608399998665845,0.0006446350000715029,4,2,2,2,2,25,2.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,22282.093874283477,-3.428652413905263e-13,1.3489798759505163e-07,0.0,0.0,32,31,0.008384201999888319,0.0006094309999298275,6,2,4,2,2,25,2.5,0.1
R0-full,True,Optimization terminated successfully,19672.719785011825,0.0,0.0,0.0,0.0,46,42,0.044527121999863084,1.79909998223593e-05,48,48,0,5,2,25,0.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,21481.85306905499,9.196152356226309,0.18861767110065664,0.0,-2.495781359357352e-13,27,47,0.009156773999848156,0.000569493000057264,7,2,5,5,2,25,0.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,20331.139120704578,3.34686481019461,0.055702856336637956,0.0,-2.1316282072803006e-14,25,44,0.00900351700011015,0.0008321840000462544,7,2,5,5,2,25,0.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,19672.719785011814,-5.54775167874358e-14,8.637080919129914e-08,0.0,0.0,42,41,0.012733026999967478,0.0010175469999467168,12,2,10,5,2,25,0.5,0.0
R0-full,True,Optimization terminated successfully,22282.093874283473,0.0,0.0,0.0,0.0,48,46,0.04746623899995939,2.0860000176980975e-05,48,48,0,5,2,25,0.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,24079.037204072396,8.064517365052646,0.1685871915651962,2.2737367544323206e-13,-6.927791673660977e-14,25,55,0.010258695999937117,0.0005879799998638191,7,2,5,5,2,25,0.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,22939.175533415655,2.948922407559472,0.05025894278188706,2.2737367544323206e-13,-2.2026824808563106e-13,32,28,0.009357180999813863,0.0006865099999231461,7,2,5,5,2,25,0.5,0.1
R1-G-grouped-atom,True,Optimization terminated successfully,22282.0938742835,1.142884137968425e-13,9.56173051826909e-08,1.1368683772161603e-13,5.406797908390411e-15,39,38,0.011759148999999525,0.0010843760001080227,12,2,10,5,2,25,0.5,0.1
R0-full,True,Optimization terminated successfully,19672.71978501181,0.0,0.0,0.0,0.0,38,38,0.03952225800003362,2.026200013460766e-05,48,48,0,5,2,25,2.5,0.0
R1-U-unweighted-SVD,True,Optimization terminated successfully,20757.873247952317,5.516031717013832,0.21638528507922386,1.1368683772161603e-13,-2.133404564119701e-12,15,16,0.004772225999886359,0.0005202649999773712,7,2,5,5,2,25,2.5,0.0
R1-W-weighted-SVD,True,Optimization terminated successfully,19846.524718246455,0.8834819747041962,0.03686780293571437,0.0,0.0,32,31,0.009466440000096554,0.0006805289999647357,7,2,5,5,2,25,2.5,0.0
R1-G-grouped-atom,True,Optimization terminated successfully,19672.719785011814,1.8492505595811946e-14,1.4754493920373164e-09,0.0,0.0,40,39,0.012458206000019345,0.0011765619999550836,12,2,10,5,2,25,2.5,0.0
R0-full,True,Optimization terminated successfully,22282.093874283553,0.0,0.0,1.1368683772161603e-13,0.0,45,41,0.04497078100007457,2.383000014560821e-05,48,48,0,5,2,25,2.5,0.1
R1-U-unweighted-SVD,True,Optimization terminated successfully,23348.094822232928,4.7841147872538095,0.19705578045527136,0.0,-2.305711177541525e-12,23,19,0.005812720999983867,0.0006115479998243245,7,2,5,5,2,25,2.5,0.1
R1-W-weighted-SVD,True,Optimization terminated successfully,22455.47671098241,0.7781263182764114,0.03371286664737865,2.2737367544323206e-13,-7.105427357601002e-15,34,33,0.00973703799991199,0.0006655310000951431,7,2,5,5,2,25,2.5,0.1
