concentration,rank,representation,objective_gap_pct
2.5,1,R1-U-unweighted-SVD,5.187377153500985
2.5,1,R1-W-weighted-SVD,2.9722243176836023
2.5,2,R1-U-unweighted-SVD,5.177697049474405
2.5,2,R1-W-weighted-SVD,0.9750742465453944
2.5,3,R1-U-unweighted-SVD,4.963688826866906
2.5,3,R1-W-weighted-SVD,0.9362938788451648
2.5,4,R1-U-unweighted-SVD,4.961414498144062
2.5,4,R1-W-weighted-SVD,0.8235979332160704
2.5,5,R1-U-unweighted-SVD,4.7841147872538095
2.5,5,R1-W-weighted-SVD,0.7781263182764114
2.5,6,R1-U-unweighted-SVD,4.724550333414406
2.5,6,R1-W-weighted-SVD,0.7566318551897077
2.5,8,R1-U-unweighted-SVD,4.409191969287065
2.5,8,R1-W-weighted-SVD,0.6944218866974913
2.5,10,R1-U-unweighted-SVD,4.299671631688967
2.5,10,R1-W-weighted-SVD,0.6869370383142968
0.5,1,R1-U-unweighted-SVD,13.631739691940368
0.5,1,R1-W-weighted-SVD,8.631545771757935
0.5,2,R1-U-unweighted-SVD,12.165144583423952
0.5,2,R1-W-weighted-SVD,5.418915897057068
0.5,3,R1-U-unweighted-SVD,9.363693968070471
0.5,3,R1-W-weighted-SVD,3.4083493281080948
0.5,4,R1-U-unweighted-SVD,8.91767141506958
0.5,4,R1-W-weighted-SVD,3.2634880697293824
0.5,5,R1-U-unweighted-SVD,8.064517365052646
0.5,5,R1-W-weighted-SVD,2.948922407559472
0.5,6,R1-U-unweighted-SVD,6.654968104691778
0.5,6,R1-W-weighted-SVD,2.939050983723895
0.5,8,R1-U-unweighted-SVD,5.7946784800574545
0.5,8,R1-W-weighted-SVD,2.9128202710213476
0.5,10,R1-U-unweighted-SVD,5.143216492517247
0.5,10,R1-W-weighted-SVD,2.911803663817049
