basis,case,ell,gap_pct,kbar,n,obj,r,reduction_pct,reps,speedup,svd_s,t_comp_s,t_full_s,tau
weighted,sketch-V2,17464,0.0284,2.45,42774,16766130.029908407,20,53.2,3,1.62,0.1,6.9,11.2,4.54
unweighted,sketch-V2,17464,0.0291,2.45,42774,16766243.320208332,20,53.2,3,1.55,0.1,7.3,11.2,4.54
weighted,sketch-E0,65728,0.0202,3.49,229175,16774784.487510134,20,70.3,1,3.71,1.3,42.2,156.3,4.54
unweighted,sketch-E0,65728,0.0232,3.49,229175,16775285.566248905,20,70.3,1,3.34,1.4,46.8,156.3,4.54
weighted,sketch-E2,82083,0.2086,8.64,709567,16811099.658173483,20,87.1,1,1.55,4.0,434.2,672.7,4.54
unweighted,sketch-E2,82083,0.7024,8.64,709567,16893933.51818926,20,87.1,1,1.34,4.3,503.0,672.7,4.54
weighted,sketch-K10,81435,0.435,11.09,903516,16851935.75526788,20,89.8,1,0.83,7.6,852.6,707.9,4.54
unweighted,sketch-K10,81435,1.1914,11.09,903516,16978847.111800723,20,89.8,1,0.66,9.1,1068.0,707.9,4.54
